profile_id,hour,price_usd_per_mwh,emissions_kgco2e_per_mwh
NW_RENEW,0,18,40
NW_RENEW,1,16,38
NW_RENEW,2,15,36
NW_RENEW,3,14,35
NW_RENEW,4,15,36
NW_RENEW,5,18,42
NW_RENEW,6,22,50
NW_RENEW,7,26,60
NW_RENEW,8,24,52
NW_RENEW,9,18,38
NW_RENEW,10,10,20
NW_RENEW,11,8,16
NW_RENEW,12,7,14
NW_RENEW,13,8,15
NW_RENEW,14,10,18
NW_RENEW,15,12,22
NW_RENEW,16,18,40
NW_RENEW,17,28,75
NW_RENEW,18,34,110
NW_RENEW,19,38,140
NW_RENEW,20,36,130
NW_RENEW,21,30,100
NW_RENEW,22,24,70
NW_RENEW,23,20,50
EAST_GRID,0,52,330
EAST_GRID,1,50,320
EAST_GRID,2,48,315
EAST_GRID,3,48,315
EAST_GRID,4,50,325
EAST_GRID,5,55,350
EAST_GRID,6,62,370
EAST_GRID,7,70,390
EAST_GRID,8,76,410
EAST_GRID,9,72,380
EAST_GRID,10,66,330
EAST_GRID,11,60,300
EAST_GRID,12,58,280
EAST_GRID,13,60,285
EAST_GRID,14,64,310
EAST_GRID,15,70,345
EAST_GRID,16,76,380
EAST_GRID,17,86,430
EAST_GRID,18,94,500
EAST_GRID,19,96,520
EAST_GRID,20,90,500
EAST_GRID,21,80,450
EAST_GRID,22,68,390
EAST_GRID,23,58,350
SOUTH_GRID,0,55,360
SOUTH_GRID,1,53,350
SOUTH_GRID,2,52,345
SOUTH_GRID,3,52,345
SOUTH_GRID,4,54,350
SOUTH_GRID,5,58,365
SOUTH_GRID,6,66,390
SOUTH_GRID,7,76,420
SOUTH_GRID,8,82,440
SOUTH_GRID,9,78,410
SOUTH_GRID,10,70,360
SOUTH_GRID,11,64,320
SOUTH_GRID,12,62,300
SOUTH_GRID,13,64,305
SOUTH_GRID,14,68,330
SOUTH_GRID,15,74,370
SOUTH_GRID,16,82,420
SOUTH_GRID,17,92,480
SOUTH_GRID,18,102,540
SOUTH_GRID,19,104,550
SOUTH_GRID,20,98,530
SOUTH_GRID,21,86,480
SOUTH_GRID,22,72,420
SOUTH_GRID,23,60,380
BOHAI,0,42,390
BOHAI,1,40,380
BOHAI,2,39,375
BOHAI,3,39,375
BOHAI,4,40,380
BOHAI,5,45,400
BOHAI,6,55,430
BOHAI,7,64,450
BOHAI,8,70,465
BOHAI,9,66,430
BOHAI,10,58,390
BOHAI,11,52,360
BOHAI,12,50,340
BOHAI,13,52,345
BOHAI,14,56,370
BOHAI,15,62,400
BOHAI,16,70,430
BOHAI,17,82,480
BOHAI,18,90,540
BOHAI,19,92,560
BOHAI,20,86,540
BOHAI,21,76,500
BOHAI,22,62,450
BOHAI,23,48,410
ORDOS,0,25,560
ORDOS,1,23,550
ORDOS,2,22,545
ORDOS,3,22,545
ORDOS,4,24,550
ORDOS,5,30,570
ORDOS,6,40,600
ORDOS,7,46,620
ORDOS,8,42,580
ORDOS,9,30,480
ORDOS,10,18,320
ORDOS,11,15,260
ORDOS,12,14,240
ORDOS,13,15,250
ORDOS,14,18,300
ORDOS,15,24,420
ORDOS,16,36,560
ORDOS,17,48,650
ORDOS,18,54,700
ORDOS,19,56,720
ORDOS,20,52,700
ORDOS,21,44,660
ORDOS,22,34,620
ORDOS,23,28,590
YANGTZE_GRID,0,45,400
YANGTZE_GRID,1,44,395
YANGTZE_GRID,2,43,390
YANGTZE_GRID,3,43,390
YANGTZE_GRID,4,45,400
YANGTZE_GRID,5,50,420
YANGTZE_GRID,6,58,450
YANGTZE_GRID,7,66,470
YANGTZE_GRID,8,72,490
YANGTZE_GRID,9,68,450
YANGTZE_GRID,10,60,390
YANGTZE_GRID,11,54,350
YANGTZE_GRID,12,52,330
YANGTZE_GRID,13,54,335
YANGTZE_GRID,14,58,360
YANGTZE_GRID,15,64,400
YANGTZE_GRID,16,72,450
YANGTZE_GRID,17,84,510
YANGTZE_GRID,18,92,570
YANGTZE_GRID,19,94,590
YANGTZE_GRID,20,88,560
YANGTZE_GRID,21,76,500
YANGTZE_GRID,22,62,450
YANGTZE_GRID,23,50,420
