pathway,parameter,value,unit,notes
geological_storage,compression_kwh_per_tco2,95,kWh/tCO2,CO2 compression to dense phase
geological_storage,injection_kwh_per_tco2,8,kWh/tCO2,Injection power
geological_storage,retention_fraction,0.995,fraction,Stored CO2 retained over accounting horizon
mineralization,uptake_fraction,0.82,fraction,CO2 converted into carbonate product
mineralization,milling_kwh_per_tco2,55,kWh/tCO2,Comminution and feed preparation
mineralization,handling_kwh_per_tco2,18,kWh/tCO2,Material handling and curing equipment
mineralization,low_grade_heat_gj_per_tco2,0.10,GJ/tCO2,Low-temperature heat
co2_to_methanol,overall_co2_conversion,0.88,fraction,Overall conversion after recycle
co2_to_methanol,methanol_selectivity,0.96,fraction,Carbon selectivity to methanol
co2_to_methanol,h2_loss_fraction,0.04,fraction,Hydrogen loss and purge allowance
co2_to_methanol,compression_kwh_per_tco2,75,kWh/tCO2,Feed and recycle compression
co2_to_methanol,recycle_separation_kwh_per_tco2,45,kWh/tCO2,Gas recycle and separation
co2_to_methanol,distillation_gj_per_t_methanol,1.25,GJ/tMeOH,Methanol-water purification heat
rwgs_to_co,overall_co2_conversion,0.85,fraction,Overall conversion after recycle
rwgs_to_co,co_selectivity,0.98,fraction,Carbon selectivity to CO
rwgs_to_co,h2_loss_fraction,0.03,fraction,Hydrogen loss and purge allowance
rwgs_to_co,compression_kwh_per_tco2,70,kWh/tCO2,Feed compression
rwgs_to_co,gas_separation_kwh_per_tco2,80,kWh/tCO2,CO2 recycle and CO purification
rwgs_to_co,heat_efficiency,0.75,fraction,Effective heat delivery efficiency
electrolysis_to_co,single_pass_conversion,0.45,fraction,Electrolyzer single-pass CO2 conversion
electrolysis_to_co,overall_capture_recycle_efficiency,0.90,fraction,CO2 recycle capture efficiency
electrolysis_to_co,faradaic_efficiency,0.86,fraction,Faradaic efficiency to CO
electrolysis_to_co,cell_voltage_v,3.0,V,Cell voltage
electrolysis_to_co,separation_kwh_per_tco2,130,kWh/tCO2,Product separation and recycle
electrolysis_to_co,balance_of_plant_kwh_per_tco2,90,kWh/tCO2,Pumps controls and auxiliaries
electrolysis_to_formate,single_pass_conversion,0.40,fraction,Electrolyzer single-pass CO2 conversion
electrolysis_to_formate,overall_capture_recycle_efficiency,0.88,fraction,CO2 recycle capture efficiency
electrolysis_to_formate,faradaic_efficiency,0.82,fraction,Faradaic efficiency to formate
electrolysis_to_formate,cell_voltage_v,3.2,V,Cell voltage
electrolysis_to_formate,product_recovery_kwh_per_tco2,420,kWh/tCO2,Formate concentration and recovery
electrolysis_to_formate,balance_of_plant_kwh_per_tco2,110,kWh/tCO2,Pumps controls and auxiliaries
electrolysis_to_ethylene,single_pass_conversion,0.25,fraction,Electrolyzer single-pass CO2 conversion
electrolysis_to_ethylene,overall_capture_recycle_efficiency,0.82,fraction,CO2 recycle capture efficiency
electrolysis_to_ethylene,faradaic_efficiency,0.45,fraction,Faradaic efficiency to ethylene
electrolysis_to_ethylene,cell_voltage_v,3.6,V,Cell voltage
electrolysis_to_ethylene,product_recovery_kwh_per_tco2,520,kWh/tCO2,C2 product separation and CO2 recycle
electrolysis_to_ethylene,balance_of_plant_kwh_per_tco2,180,kWh/tCO2,Pumps controls and auxiliaries
photocatalytic_to_co,overall_co2_conversion,0.18,fraction,Overall CO2 conversion
photocatalytic_to_co,co_selectivity,0.75,fraction,Carbon selectivity to CO
photocatalytic_to_co,solar_to_product_efficiency,0.01,fraction,Solar-to-CO chemical efficiency
photocatalytic_to_co,annual_insolation_kwh_m2,1700,kWh/m2/yr,Annual solar resource
photocatalytic_to_co,photoreactor_cost_usd_m2,180,USD/m2,Installed photoreactor cost
photocatalytic_to_co,gas_cleanup_kwh_per_tco2,95,kWh/tCO2,Gas cleanup and recycle
photoelectrochemical_to_formate,overall_co2_conversion,0.22,fraction,Overall CO2 conversion
photoelectrochemical_to_formate,formate_selectivity,0.80,fraction,Carbon selectivity to formate
photoelectrochemical_to_formate,solar_to_product_efficiency,0.025,fraction,Solar-to-formate chemical efficiency
photoelectrochemical_to_formate,annual_insolation_kwh_m2,1700,kWh/m2/yr,Annual solar resource
photoelectrochemical_to_formate,photoreactor_cost_usd_m2,260,USD/m2,Installed PEC reactor cost
photoelectrochemical_to_formate,product_recovery_kwh_per_tco2,260,kWh/tCO2,Formate concentration and recovery
co2_to_methane,overall_co2_conversion,0.92,fraction,Overall conversion after recycle
co2_to_methane,methane_selectivity,0.98,fraction,Carbon selectivity to methane
co2_to_methane,h2_loss_fraction,0.035,fraction,Hydrogen loss and purge allowance
co2_to_methane,compression_kwh_per_tco2,70,kWh/tCO2,Feed compression
co2_to_methane,gas_cleanup_kwh_per_tco2,35,kWh/tCO2,Gas cleanup and drying
co2_h2_ft_saf,co2_to_hydrocarbon_fraction,0.88,fraction,CO2 converted into hydrocarbon pool
co2_h2_ft_saf,saf_selectivity_fraction,0.58,fraction,SAF-range cut from hydrocarbon product
co2_h2_ft_saf,h2_kg_per_tco2,165,kg/tCO2,Hydrogen demand including recycle/loss allowance
co2_h2_ft_saf,synthesis_kwh_per_tco2,260,kWh/tCO2,RWGS/FT synthesis auxiliaries
co2_h2_ft_saf,upgrading_kwh_per_tco2,120,kWh/tCO2,Hydrocracking/fractionation auxiliaries
co2_h2_ft_saf,heat_gj_per_tco2,0.45,GJ/tCO2,Process heat for synthesis and upgrading
co2_methanol_to_jet_saf,methanol_intermediate_fraction,0.84,fraction,CO2 converted through methanol intermediate
co2_methanol_to_jet_saf,saf_selectivity_fraction,0.46,fraction,SAF-range cut from hydrocarbon product
co2_methanol_to_jet_saf,h2_kg_per_tco2,178,kg/tCO2,Hydrogen demand including recycle/loss allowance
co2_methanol_to_jet_saf,synthesis_kwh_per_tco2,180,kWh/tCO2,CO2-to-methanol auxiliaries
co2_methanol_to_jet_saf,upgrading_kwh_per_tco2,320,kWh/tCO2,Methanol-to-jet upgrading auxiliaries
co2_methanol_to_jet_saf,heat_gj_per_tco2,0.85,GJ/tCO2,Process heat for synthesis and upgrading
