entity_type,entity_id,latitude,longitude,prefecture_code,prefecture_name,province_code,province_name,boundary_level,join_method,fallback_distance_km,boundary_source,evidence_grade
destination,STORAGE_AH,31.8206,117.2272,340100,合肥市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_BJ,39.9042,116.4074,110000,北京市,110000,北京市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_GS,36.0611,103.8343,620100,兰州市,620000,甘肃省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_GZ,26.647,106.6302,520100,贵阳市,520000,贵州省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_HE,38.0428,114.5149,130100,石家庄市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_HA,34.7657,113.7532,410100,郑州市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_HL,45.7422,126.6617,230100,哈尔滨市,230000,黑龙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_HB,30.5928,114.3055,420100,武汉市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_HN,28.2282,112.9388,430100,长沙市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_JL,43.8965,125.3268,220100,长春市,220000,吉林省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_JS,32.0603,118.7969,320100,南京市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_LN,41.8354,123.4291,210100,沈阳市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_NM,40.8175,111.7652,150100,呼和浩特市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_NX,38.4872,106.2309,640100,银川市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_QH,36.6171,101.7782,630100,西宁市,630000,青海省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_SD,36.6683,117.0208,370100,济南市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_SX,37.8735,112.5624,140100,太原市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_SN,34.3416,108.9398,610100,西安市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_SC,30.5728,104.0668,510100,成都市,510000,四川省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_TJ,39.3434,117.3616,120000,天津市,120000,天津市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_XJ,43.8256,87.6168,650100,乌鲁木齐市,650000,新疆维吾尔自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_YN,25.0389,102.7183,530100,昆明市,530000,云南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,STORAGE_CQ,29.563,106.5516,500000,重庆市,500000,重庆市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,NW_RENEW_H2_QH,36.6171,101.7782,630100,西宁市,630000,青海省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,EAST_CHEM_SH,31.2304,121.4737,310000,上海市,310000,上海市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,SOUTH_FUELS_GD,23.1291,113.2644,440100,广州市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
destination,YANGTZE_MINERAL_HB,30.5928,114.3055,420100,武汉市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
