entity_type,entity_id,latitude,longitude,prefecture_code,prefecture_name,province_code,province_name,boundary_level,join_method,fallback_distance_km,boundary_source,evidence_grade
source,CT_48193118,23.9848531230091,106.291549945361,451000,百色市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566610,41.1392046339499,122.981078374674,210300,鞍山市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451405,40.1952,111.3589,150100,呼和浩特市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566560,30.6269888930925,114.448152348092,420100,武汉市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_38089178,31.7031920212503,118.472269928503,340500,马鞍山市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1567260,40.6402765541958,109.736137308756,150200,包头市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440567,31.4381773367548,121.431570271147,310000,上海市,310000,上海市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453357,31.7566,120.9731,320500,苏州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452549,30.628,121.1442,330400,嘉兴市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450976,21.8667,112.9228,440700,江门市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440512,31.9803618839701,120.630568048814,320500,苏州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566515,38.9585527174235,118.500854796019,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_447565,28.1944,115.7088,360900,宜春市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452546,29.9427,121.8131,330200,宁波市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_452326,44.6885,89.1138,652300,昌吉回族自治州,650000,新疆维吾尔自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454315,39.2049,111.119,610800,榆林市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454598,21.5426,111.6703,441700,阳江市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452033,31.3536,121.6003,310000,上海市,310000,上海市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_45257094,36.810561,95.3066556,632800,海西蒙古族藏族自治州,630000,青海省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453234,29.4818,121.5115,330200,宁波市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566628,35.1581728648412,119.348334006507,371100,日照市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450220,32.6842,116.9014,340400,淮南市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453086,24.3031,118.1259,350600,漳州市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440544,41.2779217142276,123.720619258997,210500,本溪市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454092,37.4322,120.0181,370600,烟台市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451402,40.367,109.996,150600,鄂尔多斯市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_447793,31.4651,121.4048,310000,上海市,310000,上海市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454545,32.1957,119.2497,321100,镇江市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453164,28.1152,121.1391,331000,台州市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453911,32.1872,119.9144,321200,泰州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455866,38.3238,106.7213,150600,鄂尔多斯市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451015,35.1676,112.7165,419001,济源市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454834,40.654,96.5027,620900,酒泉市,620000,甘肃省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452028,35.3256,116.9261,370800,济宁市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451063,30.5518,114.642,420700,鄂州市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450166,40.0796,120.0096,211400,葫芦岛市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453828,39.2193,117.9299,120000,天津市,120000,天津市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454807,44.2689,87.6879,659004,五家渠市,650000,新疆维吾尔自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440535,27.7862614820957,114.913356569256,360500,新余市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453295,42.2237,116.0293,152500,锡林郭勒盟,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455924,36.6155,116.2191,371500,聊城市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25457222,36.9107,117.7854,371600,滨州市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451058,48.5497,119.7739,150700,呼伦贝尔市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454362,38.0575,106.6914,640100,银川市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566584,32.1876425264049,118.744814957189,320100,南京市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_33999052,38.219198547189,106.34127437586,640100,银川市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566499,21.0585578022727,110.502211577761,440800,湛江市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566505,24.3852527858698,109.382140439608,450200,柳州市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454094,33.8185,120.4633,320900,盐城市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453196,38.1483,106.3458,640100,银川市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453930,26.3734,119.7622,350100,福州市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452505,31.939,120.0806,320200,无锡市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453720,38.7369,110.1661,610800,榆林市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453372,23.5664,117.0972,445100,潮州市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454155,31.9897,120.6879,320500,苏州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454308,28.1704,121.0889,330300,温州市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452514,35.4661,112.5742,140500,晋城市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440568,37.9309278461558,112.540146674964,140100,太原市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566527,39.6051179045896,118.470396942639,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450361,30.6566,113.9173,420900,孝感市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566684,35.1963495675448,119.382214605277,371100,日照市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451041,21.7005,108.6243,450700,钦州市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453946,40.0279,113.2933,140200,大同市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452688,37.8937,112.0907,140100,太原市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454596,24.7273,118.7497,350500,泉州市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453816,23.1899,116.6548,440500,汕头市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_3672990,37.018969,117.49298,371600,滨州市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454218,34.3779,117.1759,320300,徐州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453439,23.5672,114.6403,441600,河源市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_38467505,23.2374799,109.33464,450800,贵港市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451574,37.9855,105.9283,640300,吴忠市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440516,31.8499209181937,120.72863256117,320500,苏州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452916,30.541,117.1717,340800,安庆市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566683,39.2246442934324,118.09302346596,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451326,25.1608,119.0333,350300,莆田市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440450,39.9190181700982,118.680142991859,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440428,24.7100570682778,113.641620602938,440200,韶关市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451055,32.0321,120.7696,320600,南通市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455250,33.8339,116.8311,340600,淮北市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_48193105,34.6262915874818,113.471486082229,410100,郑州市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450591,32.1769,119.5755,321100,镇江市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566601,31.9039009292538,118.608454622383,320100,南京市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454746,42.407,93.0131,650500,哈密市,650000,新疆维吾尔自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453943,32.0586,121.7267,320600,南通市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_450553,27.959,114.7522,360500,新余市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566514,40.946606971163,117.719699120488,130800,承德市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453561,34.6855,111.0274,411200,三门峡市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453435,32.7465,116.8127,340400,淮南市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566573,27.7484114944584,111.964254249157,431300,娄底市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566507,21.6840527936968,108.409613245159,450600,防城港市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451572,34.4964,107.2192,610300,宝鸡市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455961,39.9242,113.0851,140200,大同市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452780,21.3132,110.4095,440800,湛江市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452965,27.9957,120.8359,330300,温州市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453514,23.0048,116.5472,445200,揭阳市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452019,36.1343,117.685,370100,济南市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566756,39.6590676768483,118.895271959317,130300,秦皇岛市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453560,26.7574,119.7354,350900,宁德市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566611,40.3128472773855,122.12967812922,210800,营口市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
