sector,subsector,year,emissions_tco2,activity_sum,source_count
manufacturing,aluminum,2021,277210170.53362525,110332999.99999999,141
manufacturing,aluminum,2022,292586605.5841433,123173753.66872716,141
manufacturing,aluminum,2023,252425558.13670617,124350589.81795399,141
manufacturing,aluminum,2024,247638462.4796163,125068000.99184647,141
manufacturing,aluminum,2025,259749451.95051306,132044926.3802052,141
manufacturing,aluminum,2026,22263769.03038707,11306894.812154831,141
manufacturing,cement,2021,649017202.8814664,993518240.699737,739
manufacturing,cement,2022,624887590.1137347,956886720.8056374,739
manufacturing,cement,2023,618314656.3403562,947852002.0629294,739
manufacturing,cement,2024,602762094.0775933,923428287.2191311,739
manufacturing,cement,2025,590990711.2539791,905214477.1647567,739
manufacturing,cement,2026,49581138.28525658,75990304.6116058,739
manufacturing,chemicals,2021,302213363.848,110640837.14000006,157
manufacturing,chemicals,2022,311515853.848,113481837.14000008,157
manufacturing,chemicals,2023,308185232.0320001,114611510.00999999,157
manufacturing,chemicals,2024,306116869.168386,109744773.86031988,157
manufacturing,chemicals,2025,306116869.168386,109744773.86031988,157
manufacturing,chemicals,2026,25927931.541584607,9295322.376147307,157
manufacturing,iron-and-steel,2021,1419401865.9299946,844383562.6959512,363
manufacturing,iron-and-steel,2022,1381168424.62518,817573779.4866878,363
manufacturing,iron-and-steel,2023,1336160121.8414779,797925306.2556344,363
manufacturing,iron-and-steel,2024,1319029541.6556044,791199295.1052073,363
manufacturing,iron-and-steel,2025,1306061027.1742067,784325806.8239888,363
manufacturing,iron-and-steel,2026,112125176.76869664,67130106.7915,363
manufacturing,lime,2021,357160560.71614444,309538917.30940896,1424
manufacturing,lime,2022,369672879.1272196,309538917.3094029,1424
manufacturing,lime,2023,382597122.5892916,309538917.3094008,1424
manufacturing,lime,2024,382597122.5892916,309538917.3094008,1424
manufacturing,lime,2025,382597122.5892916,309538917.3094008,1424
manufacturing,lime,2026,31483728.454510774,25471804.787025988,1424
manufacturing,petrochemical-steam-cracking,2021,62342034.560099974,28256000.002299987,41
manufacturing,petrochemical-steam-cracking,2022,63258305.196599975,28975000.001399983,41
manufacturing,petrochemical-steam-cracking,2023,69604508.55989999,31899000.000299983,41
manufacturing,petrochemical-steam-cracking,2024,66803111.69798999,30612768.13589999,41
manufacturing,petrochemical-steam-cracking,2025,67876862.69034998,31096644.867639996,41
manufacturing,petrochemical-steam-cracking,2026,5751304.924146667,2636875.7035400006,41
power,electricity-generation,2021,4509138575.8,5340892586.0,2646
power,electricity-generation,2022,4494743252.1,5327434080.0,2646
power,electricity-generation,2023,4741842132.799999,5629758799.0,2646
power,electricity-generation,2024,4818486166.4,5739756461.0,2646
power,electricity-generation,2025,4820121178.6,5762507703.0,2646
power,electricity-generation,2026,447359123.4,534544066.0,2646
