sector,subsector,source_id,source_name,source_type,year,lat,lon,gas,emissions_tco2,activity_sum,activity_units,capacity,capacity_units,rows
manufacturing,aluminum,43765143,Aba aluminium plant,Smelting,2021,30.9962904458404,103.455253006522,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765143,Aba aluminium plant,Smelting,2022,30.9962904458404,103.455253006522,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765143,Aba aluminium plant,Smelting,2023,30.9962904458404,103.455253006522,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765143,Aba aluminium plant,Smelting,2024,30.9962904458404,103.455253006522,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765143,Aba aluminium plant,Smelting,2025,30.9962904458404,103.455253006522,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765143,Aba aluminium plant,Smelting,2026,30.9962904458404,103.455253006522,co2,31632.710649585188,12653.084259834075,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,1
manufacturing,aluminum,3673021,Baise Guangxi aluminium plant,Smelting,2021,23.9053605,106.6148824,co2,584487.4616701468,233794.98466805875,t of alumina/aluminum,27178.08219178082,t of alumina/aluminum,12
manufacturing,aluminum,3673021,Baise Guangxi aluminium plant,Smelting,2022,23.9053605,106.6148824,co2,739883.3352396204,295953.33409584814,t of alumina/aluminum,27178.08219178082,t of alumina/aluminum,12
manufacturing,aluminum,3673021,Baise Guangxi aluminium plant,Smelting,2023,23.9053605,106.6148824,co2,718070.6573646228,287228.2629458491,t of alumina/aluminum,27178.08219178082,t of alumina/aluminum,12
manufacturing,aluminum,3673021,Baise Guangxi aluminium plant,Smelting,2024,23.9053605,106.6148824,co2,680044.196233748,272017.6784934991,t of alumina/aluminum,27103.82513661202,t of alumina/aluminum,12
manufacturing,aluminum,3673021,Baise Guangxi aluminium plant,Smelting,2025,23.9053605,106.6148824,co2,686313.0898952518,274525.23595810076,t of alumina/aluminum,27178.08219178082,t of alumina/aluminum,12
manufacturing,aluminum,3673021,Baise Guangxi aluminium plant,Smelting,2026,23.9053605,106.6148824,co2,59140.02117162611,23656.008468650445,t of alumina/aluminum,27178.08219178082,t of alumina/aluminum,1
manufacturing,aluminum,48193118,Baise Prefecture City,Refinery,2021,23.9848531230091,106.291549945361,co2,42638690.25952133,16925023.45696076,t of alumina/aluminum,1750614.8854871097,t of alumina/aluminum,12
manufacturing,aluminum,48193118,Baise Prefecture City,Refinery,2022,23.9848531230091,106.291549945361,co2,41571871.09868517,18094741.647853795,t of alumina/aluminum,1809387.825669863,t of alumina/aluminum,12
manufacturing,aluminum,48193118,Baise Prefecture City,Refinery,2023,23.9848531230091,106.291549945361,co2,32846641.101521157,18746437.877601165,t of alumina/aluminum,1844924.9522919932,t of alumina/aluminum,12
manufacturing,aluminum,48193118,Baise Prefecture City,Refinery,2024,23.9848531230091,106.291549945361,co2,33057794.450900715,19491624.086615987,t of alumina/aluminum,1901040.6333645096,t of alumina/aluminum,12
manufacturing,aluminum,48193118,Baise Prefecture City,Refinery,2025,23.9848531230091,106.291549945361,co2,36132077.37802964,21304290.9068571,t of alumina/aluminum,2185944.6866082028,t of alumina/aluminum,12
manufacturing,aluminum,48193118,Baise Prefecture City,Refinery,2026,23.9848531230091,106.291549945361,co2,3084577.1930076247,1818736.552480911,t of alumina/aluminum,2273420.6906011384,t of alumina/aluminum,1
manufacturing,aluminum,43765144,Baise Yinhai aluminium plant,Smelting,2021,24.2805582587773,109.480702937611,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765144,Baise Yinhai aluminium plant,Smelting,2022,24.2805582587773,109.480702937611,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765144,Baise Yinhai aluminium plant,Smelting,2023,24.2805582587773,109.480702937611,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765144,Baise Yinhai aluminium plant,Smelting,2024,24.2805582587773,109.480702937611,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765144,Baise Yinhai aluminium plant,Smelting,2025,24.2805582587773,109.480702937611,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765144,Baise Yinhai aluminium plant,Smelting,2026,24.2805582587773,109.480702937611,co2,31632.710649585188,12653.084259834075,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,1
manufacturing,aluminum,3673006,Baotou Shi aluminium plant,Smelting,2021,40.592408,109.798065,co2,2465806.478920932,986322.5915683728,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
manufacturing,aluminum,3673006,Baotou Shi aluminium plant,Smelting,2022,40.592408,109.798065,co2,3121382.820542148,1248553.1282168592,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
manufacturing,aluminum,3673006,Baotou Shi aluminium plant,Smelting,2023,40.592408,109.798065,co2,3029360.5857570022,1211744.2343028008,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
manufacturing,aluminum,3673006,Baotou Shi aluminium plant,Smelting,2024,40.592408,109.798065,co2,2868936.4528611237,1147574.58114445,t of alumina/aluminum,114344.26229508196,t of alumina/aluminum,12
