source_dataset,pid,name,noneng-name,owner,areas,subnat,status,start-year,capacity,capacity-display,Cement-Capacity-(millions-metric-tonnes-per-annum),Clinker-Capacity-(millions-metric-tonnes-per-annum),prod-type,latitude,longitude,Latitude,Longitude,url,altf-yn,areas-subnat-sat-display,capacity-details,capacity-table,ccs-yn,cem-type,claycal-yn,color,loc-owner,location-accuracy,name-search,owner-search,plant-type,scaling-capacity,status-legend,tracker-acro,tracker-custom,tracker-display,units-of-m
cement,P100000123065,Anhui Hailuo Cement Baimashan Cement Plant Co Ltd,安徽海螺水泥有限公司白马山水泥厂 (Chinese),Anhui Hailuo Cement Baimashan Cement Plant Co Ltd [100.0%],China;,Anhui,operating,1978,2.4,2.4,2.4,2,dry,31.229955,118.380624,31.229955,118.380624,https://www.gem.wiki/Anhui_Hailuo_Cement_Baimashan_Cement_Plant_Co_Ltd,no,"Anhui, China",2.4,2.4,yes,opc,no,grey,安徽海螺水泥有限公司白马山水泥厂 (Chinese) [100%],exact,Anhui Hailuo Cement Baimashan Cement Plant Co Ltd,Anhui Hailuo Cement Baimashan Cement Plant Co Ltd [100.0%],integrated,2.4,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123066,Qiyang Conch Cement Co Ltd Cement Plant,祁阳海螺水泥有限责任公司 (Chinese),Qiyang Conch Cement Co Ltd [100.0%],China;,Hunan,operating,2011,5,5,5,3.29,dry,26.720854,111.833275,26.720854,111.833275,https://www.gem.wiki/Qiyang_Conch_Cement_Co_Ltd_Cement_Plant,no,"Hunan, China",5,5,no,opc,no,grey,祁阳海螺水泥有限责任公司 (Chinese) [100%],exact,Qiyang Conch Cement Co Ltd Cement Plant,Qiyang Conch Cement Co Ltd [100.0%],integrated,5.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123067,Wuhu Conch Cement Co Ltd Cement Plant,芜湖海螺水泥有限公司 (Chinese),Wuhu Conch Cement Co Ltd [100.0%],China;,Anhui,operating,2006,6.6,6.6,6.6,15.8,dry,31.137582,118.169276,31.137582,118.169276,https://www.gem.wiki/Wuhu_Conch_Cement_Co_Ltd_Cement_Plant,no,"Anhui, China",6.6,6.6,no,opc,no,grey,芜湖海螺水泥有限公司 (Chinese) [100%],exact,Wuhu Conch Cement Co Ltd Cement Plant,Wuhu Conch Cement Co Ltd [100.0%],integrated,6.6,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123068,Guiding Conch Panjiang Cement Co Ltd Cement Plant,贵定海螺盘江水泥有限责任公司 (Chinese),Guiding Conch Panjiang Cement Co Ltd [100.0%],China;,Guizhou,operating,2010,4.4,4.4,4.4,3.29,dry,26.615974,107.241019,26.615974,107.241019,https://www.gem.wiki/Guiding_Conch_Panjiang_Cement_Co_Ltd_Cement_Plant,no,"Guizhou, China",4.4,4.4,no,opc,no,grey,贵定海螺盘江水泥有限责任公司 (Chinese) [100%],exact,Guiding Conch Panjiang Cement Co Ltd Cement Plant,Guiding Conch Panjiang Cement Co Ltd [100.0%],integrated,4.4,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123069,Anhui Ningguo Cement Plant,安徽海螺集团宁国水泥厂 (Chinese),Anhui Ningguo Cement Plant [100.0%],China;,Anhui,operating,1987,3,3,3,3.4,dry,30.687769,118.887302,30.687769,118.887302,https://www.gem.wiki/Anhui_Ningguo_Cement_Plant,no,"Anhui, China",3,3,no,opc,no,grey,安徽海螺集团宁国水泥厂 (Chinese) [100%],exact,Anhui Ningguo Cement Plant,Anhui Ningguo Cement Plant [100.0%],integrated,3.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123070,Guiyang Conch Panjiang Cement Co Ltd Cement Plant,贵阳海螺盘江水泥有限责任公司 (Chinese),Guiyang Conch Panjiang Cement Co Ltd [100.0%],China;,Guizhou,operating,2010,6.6,6.6,6.6,5.4,dry,26.667159,106.358115,26.667159,106.358115,https://www.gem.wiki/Guiyang_Conch_Panjiang_Cement_Co_Ltd_Cement_Plant,no,"Guizhou, China",6.6,6.6,no,opc,no,grey,贵阳海螺盘江水泥有限责任公司 (Chinese) [100%],exact,Guiyang Conch Panjiang Cement Co Ltd Cement Plant,Guiyang Conch Panjiang Cement Co Ltd [100.0%],integrated,6.6,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123071,Anhui Huai Ninghai Conch Cement Co Ltd Cement Plant,安徽怀宁海螺水泥有限公司 (Chinese),Anhui Huai Ninghai Conch Cement Co Ltd [100.0%],China;,Anhui,operating,2002,3.3,3.3,3.3,3,dry,30.627842,116.860494,30.627842,116.860494,https://www.gem.wiki/Anhui_Huai_Ninghai_Conch_Cement_Co_Ltd_Cement_Plant,no,"Anhui, China",3.3,3.3,no,opc,no,grey,安徽怀宁海螺水泥有限公司 (Chinese) [100%],exact,Anhui Huai Ninghai Conch Cement Co Ltd Cement Plant,Anhui Huai Ninghai Conch Cement Co Ltd [100.0%],integrated,3.3,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123072,Anhui Zongyang Conch Cement Co Ltd Cement Plant,安徽枞阳海螺水泥股份有限公司 (Chinese),Anhui Zongyang Conch Cement Co Ltd [100.0%],China;,Anhui,operating,2001,1.1,1.1,1.1,11,dry,30.744456,117.392989,30.744456,117.392989,https://www.gem.wiki/Anhui_Zongyang_Conch_Cement_Co_Ltd_Cement_Plant,no,"Anhui, China",1.1,1.1,no,opc,no,grey,安徽枞阳海螺水泥股份有限公司 (Chinese) [100%],exact,Anhui Zongyang Conch Cement Co Ltd Cement Plant,Anhui Zongyang Conch Cement Co Ltd [100.0%],integrated,1.1,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123073,Anhui Tongling Conch Cement Co Ltd Cement Plant,安徽铜陵海螺水泥有限公司 (Chinese),Anhui Tongling Conch Cement Co Ltd [100.0%],China;,Anhui,operating,1996,8,8,8,14.5,dry,30.844943,117.777036,30.844943,117.777036,https://www.gem.wiki/Anhui_Tongling_Conch_Cement_Co_Ltd_Cement_Plant,no,"Anhui, China",8,8,no,opc,no,grey,安徽铜陵海螺水泥有限公司 (Chinese) [100%],exact,Anhui Tongling Conch Cement Co Ltd Cement Plant,Anhui Tongling Conch Cement Co Ltd [100.0%],integrated,8.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123074,Quanjiao Conch Cement Co Ltd Cement Plant,全椒海螺水泥有限责任公司 (Chinese),Quanjiao Conch Cement Co Ltd [100.0%],China;,Anhui,operating,2010,4.4,4.4,4.4,3.65,dry,32.189163,118.209739,32.189163,118.209739,https://www.gem.wiki/Quanjiao_Conch_Cement_Co_Ltd_Cement_Plant,no,"Anhui, China",4.4,4.4,no,opc,no,grey,全椒海螺水泥有限责任公司 (Chinese) [100%],exact,Quanjiao Conch Cement Co Ltd Cement Plant,Quanjiao Conch Cement Co Ltd [100.0%],integrated,4.4,operating,GCCT,GCCT,Cement and Concrete,n/a
