source_dataset,pid,name,noneng-name,owner,areas,subnat,status,capacity,primprod,secprod,feedstock,latitude,longitude,url,areas-subnat-sat-display,capacity-details,capacity-table,coordinate-accuracy,coordinates,country-to-check,feedacc,iso3-code,municipality,name-search,other-plant-names-(english),other-plant-names-(other-language),owner-gem-id,owner-search,owners-noneng,region,scaling-capacity,sfid,status-legend,tracker-acro,tracker-custom,units-of-m
chemicals,P100000140064,Sinopec Anqing Ammonia Plant,中国石油化工股份有限公司安庆分公司 (Chinese),Sinopec Anqing Branch [100%],China;,Anhui,operating,30.0,ammonia,urea,crude oil,30.531335, 117.036287,https://gem.wiki/Sinopec_Anqing_Ammonia_Plant,"Anhui, China",30.0,30.0,exact,"30.531335, 117.036287",['China'],exact,CHN,Anqing,Sinopec Anqing Ammonia Plant,,,E100002018341 [100%],Sinopec Anqing Branch [100%],中国石油化工股份有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140065,Anhui JinCoal Zhongneng Chemical Company Fuyang Chemical Plant,安徽晋煤中能化工股份有限公司 (Chinese),Anhui JinCoal Zhongneng Chemical Co [100%],China;,Anhui,operating,30.0,ammonia; methanol,urea,coal,33.061070, 115.288674,https://gem.wiki/Anhui_JinCoal_Zhongneng_Chemical_Company_Fuyang_Chemical_Plant,"Anhui, China",30.0,30.0,exact,"33.061070, 115.288674",['China'],exact,CHN,Fuyang,Anhui JinCoal Zhongneng Chemical Company Fuyang Chemical Plant,,,E100002017857 [100%],Anhui JinCoal Zhongneng Chemical Co [100%],安徽晋煤中能化工股份有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140066,Anhui Haoyuan Chemical Group Fuyang Chemical Plant,昊源化工集团年产30万吨合成氨 (Chinese),Anhui Haoyuan Chemical Group Co Ltd [100%],China;,Anhui,operating,30.0,ammonia; methanol,diethanolamine; dimethyl ether; ethylene glycol; fertilizer (unknown type); hydrogen peroxide; isopropylamine; nylon 66; polyethylene terephthalate (PET); polystyrene; styrene; urea,coal,32.927186, 115.863918,https://gem.wiki/Anhui_Haoyuan_Chemical_Group_Fuyang_Chemical_Plant,"Anhui, China",30.0,30.0,exact,"32.927186, 115.863918",['China'],exact,CHN,Fuyang,Anhui Haoyuan Chemical Group Fuyang Chemical Plant,,,E100000121622 [100%],Anhui Haoyuan Chemical Group Co Ltd [100%],安徽昊源化工集团有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140070,China Salt Anhui Hongsquare Ammonia Plant,中盐安徽红四方股份有限公司 (Chinese),China Salt Anhui Hongsquare Co [100%],China;,Anhui,operating,30.0,ammonia,urea,coal,31.812396, 117.242071,https://gem.wiki/China_Salt_Anhui_Hongsquare_Ammonia_Plant,"Anhui, China",30.0,30.0,exact,"31.812396, 117.242071",['China'],exact,CHN,Hefei,China Salt Anhui Hongsquare Ammonia Plant,,,E100002017927 [100%],China Salt Anhui Hongsquare Co [100%],中盐安徽红四方股份有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140072,Anhui Zhuo Tai Chemical Plant,安徽卓泰化工科技有限公司 (Chinese),Anhui Zhuo Tai Chemical Technology Co [100%],China;,Anhui,operating,30.0,benzene; toluene; xylene,,coal,33.611373, 116.566904,https://gem.wiki/Anhui_Zhuo_Tai_Chemical_Plant,"Anhui, China",30.0,30.0,exact,"33.611373, 116.566904",['China'],exact,CHN,Huaibei,Anhui Zhuo Tai Chemical Plant,,,E100002017861 [100%],Anhui Zhuo Tai Chemical Technology Co [100%],安徽卓泰化工科技有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140073,Anhui Huaihua Chemical Plant,安徽淮化集团 (Chinese),Anhui Huaihua Group [100%],China;,Anhui,operating,30.0,ammonia; methanol,ammonium nitrate; dimethylformamide (DMF); formaldehyde; nitric acid; urea,coal,32.637197, 116.959467,https://gem.wiki/Anhui_Huaihua_Chemical_Plant,"Anhui, China",30.0,30.0,exact,"32.637197, 116.959467",['China'],exact,CHN,Huai,Anhui Huaihua Chemical Plant,,,E100002017855 [100%],Anhui Huaihua Group [100%],安徽淮化集团 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140074,Zhong'an United Coal Chemical Company Huai Methanol Plant,中安联合煤化公司煤制甲醇项目 (Chinese),Zhong An United Coal Chemical Co Ltd [100%],China;,Anhui,operating,30.0,methanol,acrylic acid; amines; aniline; caprolactam; cyclohexanone; ethylene glycol; ethylene oxide; hydrogen peroxide; hydroxylamine; methyl diphenyl diisocyanate (MDI); nitric acid; nitrobenzene; polyetherols; polyisobutylene (pib); propylene oxide; soda ash; sulfuric acid; surfactants,coal,32.702249, 116.870108,https://gem.wiki/Zhong'an_United_Coal_Chemical_Company_Huai_Methanol_Plant,"Anhui, China",30.0,30.0,approximate,"32.702249, 116.870108",['China'],exact,CHN,Huai,Zhong'an United Coal Chemical Company Huai Methanol Plant,,,E100000121657 [100%],Zhong An United Coal Chemical Co Ltd [100%],中安联合煤化有限责任公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140075,Anhui Quansheng Quanjiao Ammonia Plant,安徽泉盛化工有限公司 (Chinese),Anhui Quansheng Chemical Co [100%],China;,Anhui,operating,30.0,ammonia,urea,coal,32.547821, 117.244108,https://gem.wiki/Anhui_Quansheng_Quanjiao_Ammonia_Plant,"Anhui, China",30.0,30.0,exact,"32.547821, 117.244108",['China'],exact,CHN,Quanjiao,Anhui Quansheng Quanjiao Ammonia Plant,,,E100002017859 [100%],Anhui Quansheng Chemical Co [100%],安徽泉盛化工有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140076,Anhui Liuguo Tongling Ammonia Plant,安徽六国化工股份有限公司 (Chinese),Anhui Liuguo Chemical Co Ltd [100%],China;,Anhui,operating,30.0,ammonia,,,30.944805, 117.751078,https://gem.wiki/Anhui_Liuguo_Tongling_Ammonia_Plant,"Anhui, China",30.0,30.0,exact,"30.944805, 117.751078",['China'],,CHN,Tongling,Anhui Liuguo Tongling Ammonia Plant,,,E100002017858 [100%],Anhui Liuguo Chemical Co Ltd [100%],安徽六国化工股份有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140077,Anhui Huayi Wuhu Methanol Plant,安徽华谊煤制烯烃 (Chinese),Anhui Huayi Chemical Co Ltd [100%],China;,Anhui,operating,30.0,methanol,acetic acid; ethyl acetate,coal,31.375962, 118.392277,https://gem.wiki/Anhui_Huayi_Wuhu_Methanol_Plant,"Anhui, China",30.0,30.0,approximate,"31.375962, 118.392277",['China'],exact,CHN,Wuhu,Anhui Huayi Wuhu Methanol Plant,,,E100002017856 [100%],Anhui Huayi Chemical Co Ltd [100%],安徽华谊化工有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140078,Anhui Sierte Fertilizer Xuancheng Ammonia Plant,安徽省司尔特肥业股份有限公司 (Chinese),Anhui Sierte Fertilizer Industry Ltd Company [100%],China;,Anhui,operating,30.0,ammonia,urea,,30.605829, 118.968356,https://gem.wiki/Anhui_Sierte_Fertilizer_Xuancheng_Ammonia_Plant,"Anhui, China",30.0,30.0,exact,"30.605829, 118.968356",['China'],,CHN,Xuancheng,Anhui Sierte Fertilizer Xuancheng Ammonia Plant,,,E100002017860 [100%],Anhui Sierte Fertilizer Industry Ltd Company [100%],安徽省司尔特肥业股份有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140080,China Coal Energy Beijing Ammonia Plant,中国中煤能源股份有限公司 (Chinese),China Coal Energy Co [100%],China;,Beijing,operating,30.0,ammonia,,coal,40.143386, 116.437670,https://gem.wiki/China_Coal_Energy_Beijing_Ammonia_Plant,"Beijing, China",30.0,30.0,exact,"40.143386, 116.437670",['China'],exact,CHN,Beijing,China Coal Energy Beijing Ammonia Plant,,,E100001000398 [100%],China Coal Energy Co [100%],中国中煤能源股份有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
chemicals,P100000140081,Sinopec Beijing Yanshan Petrochemical Refinery,北京燕山集联石油化工有限公司 (Chinese),Sinopec Beijing Yanshan Petrochemical Co Ltd [100%],China;,Beijing,operating,30.0,ethylene; propylene,,,39.730429, 115.966988,https://gem.wiki/Sinopec_Beijing_Yanshan_Petrochemical_Refinery,"Beijing, China",30.0,30.0,exact,"39.730429, 115.966988",['China'],,CHN,Fangshan,Sinopec Beijing Yanshan Petrochemical Refinery,,,E100002018344 [100%],Sinopec Beijing Yanshan Petrochemical Co Ltd [100%],北京燕山集联石油化工有限公司 (Chinese),Asia Pacific,30.0,GEPDCHN0001,operating,GChI,GChI,n/a
chemicals,P100000140082,Chongqing Jianfeng Industrial Group Changshou Ammonia Plant,重庆建峰工业集团有限公司 (Chinese),Chongqing Jianfeng Industrial Group Co Ltd [100%],China;,Chongqing,operating,30.0,ammonia,1;4-butanediol (BDO); melamine; polytetrahydrofuran; urea,natural gas,29.822772, 107.054383,https://gem.wiki/Chongqing_Jianfeng_Industrial_Group_Changshou_Ammonia_Plant,"Chongqing, China",30.0,30.0,exact,"29.822772, 107.054383",['China'],exact,CHN,Changshou,Chongqing Jianfeng Industrial Group Changshou Ammonia Plant,,,E100002017931 [100%],Chongqing Jianfeng Industrial Group Co Ltd [100%],重庆建峰工业集团有限公司 (Chinese),Asia Pacific,30.0,,operating,GChI,GChI,n/a
