source_dataset,id,pid,name,unit-name,noneng-name,owner,parent,areas,subnat,status,start-year,capacity,annual-co2-(million-tonnes-/-annum),lifetime-co2-(million-tonnes),capacity-factor,heat-rate-(btu-per-kwh),emission-factor-(kg-of-co2-per-tj),latitude,longitude,url,alternate-fuel,areas-subnat-sat-display,capacity-details,capacity-table,captive,captive-industry-use,captive-residential-use,china-capacity-payment-recipient,chp,cleaned-cap,coal-phaseout-year,coal-source,coal-type,combustion-technology,conversion-factor,conversion-to-(fuel),conversion-to-(gem-unit-id),count-of-semi,country-to-check,float-col-clean-lat,float-col-clean-lng,"local-area-(taluk,-county)",location,location-accuracy,"major-area-(prefecture,-district)",multi-country,name-search,net-zero-year,original-units,other-name,owner-gem-entity-id,owner-search,parent-gem-entity-id,parent-search,permit-date,permit-parsed,permits,planned-retirement,plant-age-(years),region,remaining-plant-lifetime-(years),retired-year,scaling-capacity,status-legend,subregion,tracker-acro,tracker-custom,tracker-display,tracker-legend,units-of-m,wiki-from-name
coal,G100000115918,L100000105009,Akesu power station,Unit 1,新疆能源集团阿克苏电厂,Xinjiang Energy (Group) Co Ltd [100%],Xinjiang Energy (Group) Co Ltd [100.0%],China;,Xinjiang,shelved,2025,660,2.6,91.7,0.54,8272,96100,41.094952,80.118172,https://www.gem.wiki/Akesu_power_station,,"Xinjiang, China",660.0,660.0,,,,,,660.0,,,unknown,ultra-supercritical,55.48,,,['China'],['China'],41.094952,80.118172,Kuche,,approximate,Aksu,f,Akesu power station,2060,MW,,E100000123121 [100%],Xinjiang Energy (Group) Co Ltd [100%],E100000123121 [100.0%],Xinjiang Energy (Group) Co Ltd [100.0%],,,,,0,Asia,35,,36616.799999999996,shelved,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Akesu_power_station
coal,G100000115919,L100000105009,Akesu power station,Unit 2,新疆能源集团阿克苏电厂,Xinjiang Energy (Group) Co Ltd [100%],Xinjiang Energy (Group) Co Ltd [100.0%],China;,Xinjiang,shelved,2025,660,2.6,91.7,0.54,8272,96100,41.094952,80.118172,https://www.gem.wiki/Akesu_power_station,,"Xinjiang, China",660.0,660.0,,,,,,660.0,,,unknown,ultra-supercritical,55.48,,,['China'],['China'],41.094952,80.118172,Kuche,,approximate,Aksu,f,Akesu power station,2060,MW,,E100000123121 [100%],Xinjiang Energy (Group) Co Ltd [100%],E100000123121 [100.0%],Xinjiang Energy (Group) Co Ltd [100.0%],,,,,0,Asia,35,,36616.799999999996,shelved,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Akesu_power_station
coal,G100000100098,L100000101596,Aksu Cogen power station,Unit 1,浙能新疆阿克苏纺织工业城热电厂,Zheneng Aksu Thermal Power Co Ltd [100%],Zhejiang Zheneng Electric Power Co Ltd [100.0%],China;,Xinjiang,operating,2016,350,1.6,40.4,0.54,9250,96100,41.154153,80.399732,https://www.gem.wiki/Aksu_Cogen_power_station,,"Xinjiang, China",350.0,350.0,,,,,yes,350.0,,,unknown,supercritical,55.48,,,['China'],['China'],41.154153,80.399732,Aksu,Textile Industry Town,exact,Aksu,f,Aksu Cogen power station,2060,MW,,E100000123019 [100%],Zheneng Aksu Thermal Power Co Ltd [100%],E100000000310 [100.0%],Zhejiang Zheneng Electric Power Co Ltd [100.0%],15-Jan-15,"Year: 2015, Month: 1, Day: 15",15-Jan-15,,9,Asia,26,,19418.0,operating,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Aksu_Cogen_power_station
coal,G100000100099,L100000101596,Aksu Cogen power station,Unit 2,浙能新疆阿克苏纺织工业城热电厂,Zheneng Aksu Thermal Power Co Ltd [100%],Zhejiang Zheneng Electric Power Co Ltd [100.0%],China;,Xinjiang,operating,2017,350,1.6,41.9,0.54,9250,96100,41.154153,80.399732,https://www.gem.wiki/Aksu_Cogen_power_station,,"Xinjiang, China",350.0,350.0,,,,,yes,350.0,,,unknown,supercritical,55.48,,,['China'],['China'],41.154153,80.399732,Aksu,Textile Industry Town,exact,Aksu,f,Aksu Cogen power station,2060,MW,,E100000123019 [100%],Zheneng Aksu Thermal Power Co Ltd [100%],E100000000310 [100.0%],Zhejiang Zheneng Electric Power Co Ltd [100.0%],15-Jan-15,"Year: 2015, Month: 1, Day: 15",15-Jan-15,,8,Asia,27,,19418.0,operating,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Aksu_Cogen_power_station
coal,G100000100108,L100000101597,Aksu Xuzhou cogen power station,Unit 1,徐矿集团新疆阿克苏电厂,Xinjiang Aksu Thermal Power Co Ltd [100%],Jiangsu Xukuang Energy Co Ltd [100.0%],China;,Xinjiang,operating,2011,200,1.1,22.8,0.54,11313,96100,41.078773,80.16948,https://www.gem.wiki/Aksu_Xuzhou_cogen_power_station,,"Xinjiang, China",200.0,200.0,,,,,yes,200.0,,,unknown,subcritical,55.48,,,['China'],['China'],41.078773,80.16948,Aksu,Western Heavey Industry Park near 314 National Road,exact,Aksu,f,Aksu Xuzhou cogen power station,2060,MW,一期热电联产项目,E100000123064 [100%],Xinjiang Aksu Thermal Power Co Ltd [100%],E100000122229 [100.0%],Jiangsu Xukuang Energy Co Ltd [100.0%],30-Sep-09,"Year: 2009, Month: 9, Day: 30",30-Sep-09,,14,Asia,21,,11096.0,operating,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Aksu_Xuzhou_cogen_power_station
coal,G100000100109,L100000101597,Aksu Xuzhou cogen power station,Unit 2,徐矿集团新疆阿克苏电厂,Xinjiang Aksu Thermal Power Co Ltd [100%],Jiangsu Xukuang Energy Co Ltd [100.0%],China;,Xinjiang,operating,2011,200,1.1,22.8,0.54,11313,96100,41.078773,80.16948,https://www.gem.wiki/Aksu_Xuzhou_cogen_power_station,,"Xinjiang, China",200.0,200.0,,,,,yes,200.0,,,unknown,subcritical,55.48,,,['China'],['China'],41.078773,80.16948,Aksu,Western Heavey Industry Park near 314 National Road,exact,Aksu,f,Aksu Xuzhou cogen power station,2060,MW,一期热电联产项目,E100000123064 [100%],Xinjiang Aksu Thermal Power Co Ltd [100%],E100000122229 [100.0%],Jiangsu Xukuang Energy Co Ltd [100.0%],30-Sep-09,"Year: 2009, Month: 9, Day: 30",30-Sep-09,,14,Asia,21,,11096.0,operating,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Aksu_Xuzhou_cogen_power_station
coal,G100001071574,L100001062317,Alar Power station,Unit 1,第一师阿拉尔市南能集团2×66万千瓦煤电项目,Nanjiang Energy Group Co Ltd,Nanjiang Energy Group Co Ltd,China;,Xinjiang,announced,,660,2.6,91.7,0.54,8272,96100,41.741151,83.02622,https://www.gem.wiki/Alar_Power_station,,"Xinjiang, China",660.0,660.0,,,,,,660.0,,,unknown,ultra-supercritical,55.48,,,['China'],['China'],41.741151,83.02622,Kuqa (Kuche),,approximate,Aksu,f,Alar Power station,2060,MW,,E100002015199,Nanjiang Energy Group Co Ltd,E100002015199,Nanjiang Energy Group Co Ltd,,,,,0,Asia,35,,36616.799999999996,proposed-plus,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Alar_Power_station
coal,G100001071575,L100001062317,Alar Power station,Unit 2,第一师阿拉尔市南能集团2×66万千瓦煤电项目,Nanjiang Energy Group Co Ltd,Nanjiang Energy Group Co Ltd,China;,Xinjiang,announced,,660,2.6,91.7,0.54,8272,96100,41.741151,83.02622,https://www.gem.wiki/Alar_Power_station,,"Xinjiang, China",660.0,660.0,,,,,,660.0,,,unknown,ultra-supercritical,55.48,,,['China'],['China'],41.741151,83.02622,Kuqa (Kuche),,approximate,Aksu,f,Alar Power station,2060,MW,,E100002015199,Nanjiang Energy Group Co Ltd,E100002015199,Nanjiang Energy Group Co Ltd,,,,,0,Asia,35,,36616.799999999996,proposed-plus,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Alar_Power_station
coal,G100001089986,L100001080151,Altay peak shaving power station,Unit 1,阿勒泰2x660MW深度调峰煤电项目,,,China;,Xinjiang,announced,,660,2.7,95.3,0.54,8605,96100,47.858319,88.148851,https://www.gem.wiki/Altay_peak_shaving_power_station,,"Xinjiang, China",660.0,660.0,,,,,,660.0,,,unknown,unknown,55.48,,,['China'],['China'],47.858319,88.148851,,,approximate,Altay Prefecture,f,Altay peak shaving power station,2060,MW,,,,,,,,,,0,Asia,35,,36616.799999999996,proposed-plus,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Altay_peak_shaving_power_station
coal,G100001089990,L100001080151,Altay peak shaving power station,Unit 2,阿勒泰2x660MW深度调峰煤电项目,,,China;,Xinjiang,announced,,660,2.7,95.3,0.54,8605,96100,47.858319,88.148851,https://www.gem.wiki/Altay_peak_shaving_power_station,,"Xinjiang, China",660.0,660.0,,,,,,660.0,,,unknown,unknown,55.48,,,['China'],['China'],47.858319,88.148851,,,approximate,Altay Prefecture,f,Altay peak shaving power station,2060,MW,,,,,,,,,,0,Asia,35,,36616.799999999996,proposed-plus,Eastern Asia,GCPT,GCPT,coal power station,coal-power-station,MW,https://www.gem.wiki/Altay_peak_shaving_power_station
