source_dataset,project-id,name,name-noneng,owner,parent,subnational,country-area1,status,start-year,capacity,capacity-display,capacity-by-status,tech-type,prod-type,latitude,longitude,Latitude,Longitude,url,all-countries,capacity-scaled,capacity-table,location-accuracy,location-display,name-search,owner-gem-id,owner-noneng,owner-search,parent-gem-id,parent-search,status-display,tracker-acro,tracker-custom,tracker-display,units-of-m
steel,P100000120240,Rizhao Steel Holding Group Co Ltd,日照钢铁控股集团有限公司,Rizhao Steel Holding Group Co Ltd,Jinghua Rigang Holding Group Co Ltd [98.8%]; unknown [1.2%],Shandong,China,operating,2003-05-14,52446,52446.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '11300'}, {'status': 'announced', 'method': 'BOF', 'capacity': '9000'}, {'status': 'construction', 'method': 'BOF', 'capacity': '1350'}, {'status': 'retired', 'method': 'BOF', 'capacity': '1700'}, {'status': 'operating', 'method': 'BF', 'capacity': '7700'}, {'status': 'announced', 'method': 'BF', 'capacity': '10000'}, {'status': 'construction', 'method': 'BF', 'capacity': '2500'}, {'status': 'retired', 'method': 'BF', 'capacity': '1216'}, {'status': 'operating pre-retirement', 'method': 'BF', 'capacity': '7180'}, {'status': 'announced', 'method': 'DRI', 'capacity': '500'}]",BF; BOF; DRI,Integrated (BF & DRI),35.16535,119.366672,35.16535,119.366672,https://www.gem.wiki/Rizhao_Steel_Holding_Group_Co_Ltd,China,52446,52446.0,exact,"Shandong, China",Rizhao Steel Holding Group Co Ltd,E100000123983,日照钢铁控股集团有限公司,Rizhao Steel Holding Group Co Ltd,E100000124688 [98.8%]; E100000132388 [1.2%],Jinghua Rigang Holding Group Co Ltd [98.8%]; unknown [1.2%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120188,Jiangsu Shagang Iron & Steel Co Ltd,江苏沙钢集团,Jiangsu Shagang Iron & Steel Co Ltd,Jiangsu Shagang Iron & Steel Co Ltd [100.0%],Jiangsu,China,operating,2002-07-15,43515,43515.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '13530'}, {'status': 'retired', 'method': 'BOF', 'capacity': '2280'}, {'status': 'operating', 'method': 'EAF', 'capacity': '3075'}, {'status': 'announced', 'method': 'EAF', 'capacity': '1000'}, {'status': 'operating pre-retirement', 'method': 'EAF', 'capacity': '700'}, {'status': 'operating', 'method': 'BF', 'capacity': '15930'}, {'status': 'announced', 'method': 'BF', 'capacity': '2000'}, {'status': 'retired', 'method': 'BF', 'capacity': '2500'}, {'status': 'operating pre-retirement', 'method': 'BF', 'capacity': '2500'}]",BF; BOF; EAF,Integrated (BF),31.983146,120.638992,31.983146,120.638992,https://www.gem.wiki/Jiangsu_Shagang_Iron_&_Steel_Co_Ltd,China,43515,43515.0,approximate,"Jiangsu, China",Jiangsu Shagang Iron & Steel Co Ltd,E100002020306,江苏沙钢钢铁有限公司,Jiangsu Shagang Iron & Steel Co Ltd,E100002020306 [100.0%],Jiangsu Shagang Iron & Steel Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120219,Angang Steel Co Ltd,"鞍钢新轧钢股份有限公司, 鞍山制铁所, 昭和制钢所",Angang Steel Co Ltd,Angang Steel Co Ltd [100.0%],Liaoning,China,operating,1998-09-14,41210,41210.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '20650'}, {'status': 'retired', 'method': 'BOF', 'capacity': '3450'}, {'status': 'operating', 'method': 'BF', 'capacity': '16610'}, {'status': 'announced', 'method': 'DRI', 'capacity': '500'}]",BF; BOF; DRI,Integrated (BF & DRI),41.148267,122.983054,41.148267,122.983054,https://www.gem.wiki/Angang_Steel_Co_Ltd,China,41210,41210.0,exact,"Liaoning, China",Angang Steel Co Ltd,E100000126769,鞍钢股份有限公司,Angang Steel Co Ltd,E100000126769 [100.0%],Angang Steel Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120256,Baoshan Iron and Steel Co Ltd Headquarters,宝山钢铁股份有限公司 (宝山基地),Baoshan Iron & Steel Co Ltd,Baoshan Iron & Steel Co Ltd [100.0%],Shanghai,China,operating,1977,36600,36600.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '16200'}, {'status': 'operating', 'method': 'EAF', 'capacity': '3600'}, {'status': 'operating', 'method': 'BF', 'capacity': '15300'}, {'status': 'operating', 'method': 'Other/unspecified iron', 'capacity': '1500'}]",BF; BOF; EAF; Iron other/unspecified,Integrated (BF),31.41623,121.440087,31.41623,121.440087,https://www.gem.wiki/Baoshan_Iron_and_Steel_Co_Ltd_Headquarters,China,36600,36600.0,exact,"Shanghai, China",Baoshan Iron and Steel Co Ltd Headquarters,E100000122571,宝山钢铁股份有限公司,Baoshan Iron & Steel Co Ltd,E100000122571 [100.0%],Baoshan Iron & Steel Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120171,Wuhan Iron and Steel Co Ltd,宝武集团武汉钢铁有限公司,Wuhan Iron and Steel Co Ltd,Baoshan Iron & Steel Co Ltd [100.0%],Hubei,China,operating,1958-09-13,35567,35567.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '15907'}, {'status': 'operating', 'method': 'BF', 'capacity': '14320'}, {'status': 'retired', 'method': 'BF', 'capacity': '5340'}]",BF; BOF,Integrated (BF),30.616222,114.444975,30.616222,114.444975,https://www.gem.wiki/Wuhan_Iron_and_Steel_Co_Ltd,China,35567,35567.0,exact,"Hubei, China",Wuhan Iron and Steel Co Ltd,E100000123212,武汉钢铁有限公司,Wuhan Iron and Steel Co Ltd,E100000122571 [100.0%],Baoshan Iron & Steel Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120069,Maanshan Iron and Steel Co Ltd,马鞍山钢铁股份有限公司(本部),Maanshan Iron & Steel Co Ltd,Maanshan Iron & Steel Co Ltd [100.0%],Anhui,China,operating,1953,35300,35300.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '14650'}, {'status': 'construction', 'method': 'BOF', 'capacity': '1600'}, {'status': 'retired', 'method': 'BOF', 'capacity': '1860'}, {'status': 'operating pre-retirement', 'method': 'BOF', 'capacity': '1860'}, {'status': 'operating', 'method': 'EAF', 'capacity': '830'}, {'status': 'operating', 'method': 'BF', 'capacity': '14500'}]",BF; BOF; EAF,Integrated (BF),31.698884,118.468194,31.698884,118.468194,https://www.gem.wiki/Maanshan_Iron_and_Steel_Co_Ltd,China,35300,35300.0,exact,"Anhui, China",Maanshan Iron and Steel Co Ltd,E100000123737,马鞍山钢铁股份有限公司,Maanshan Iron & Steel Co Ltd,E100000123737 [100.0%],Maanshan Iron & Steel Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120182,Inner Mongolia BaoTou Steel Union Co Ltd,内蒙古包钢钢联股份有限公司,Inner Mongolia BaoTou Steel Union Co Ltd,Inner Mongolia BaoTou Steel Union Co Ltd [100.0%],Inner Mongolia,China,operating,1999-06-29,34695,34695.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '16760'}, {'status': 'retired', 'method': 'BOF', 'capacity': '945'}, {'status': 'operating', 'method': 'BF', 'capacity': '16990'}]",BF; BOF,Integrated (BF),40.647997,109.740898,40.647997,109.740898,https://www.gem.wiki/Inner_Mongolia_BaoTou_Steel_Union_Co_Ltd,China,34695,34695.0,exact,"Inner Mongolia, China",Inner Mongolia BaoTou Steel Union Co Ltd,E100000126357,内蒙古包钢钢联股份有限公司,Inner Mongolia BaoTou Steel Union Co Ltd,E100000126357 [100.0%],Inner Mongolia BaoTou Steel Union Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120094,Guangxi Shenglong Metallurgical Co Ltd,广西盛隆冶金有限公司,Guangxi Shenglong Metallurgical Co Ltd,Guangxi Shenglong Metallurgical Co Ltd [100.0%],Guangxi,China,operating,2003,30293,30293.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '9783'}, {'status': 'announced', 'method': 'BOF', 'capacity': '1200'}, {'status': 'retired', 'method': 'BOF', 'capacity': '6000'}, {'status': 'operating', 'method': 'BF', 'capacity': '10310'}, {'status': 'retired', 'method': 'BF', 'capacity': '3000'}]",BF; BOF,Integrated (BF),21.687637,108.412344,21.687637,108.412344,https://www.gem.wiki/Guangxi_Shenglong_Metallurgical_Co_Ltd,China,30293,30293.0,exact,"Guangxi, China",Guangxi Shenglong Metallurgical Co Ltd,E100000123226,广西盛隆冶金有限公司,Guangxi Shenglong Metallurgical Co Ltd,E100000123226 [100.0%],Guangxi Shenglong Metallurgical Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120223,Bengang Steel Plates Co Ltd,本溪钢铁厂,Bengang Steel Plates Co Ltd,Bengang Steel Plates Co Ltd [100.0%],Liaoning,China,operating,1997-06-27,29931,29931.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '12400'}, {'status': 'announced', 'method': 'EAF', 'capacity': '1500'}, {'status': 'operating pre-retirement', 'method': 'EAF', 'capacity': '1040'}, {'status': 'operating', 'method': 'BF', 'capacity': '12841'}, {'status': 'retired', 'method': 'BF', 'capacity': '2150'}]",BF; BOF; EAF,Integrated (BF),41.274132,123.722099,41.274132,123.722099,https://www.gem.wiki/Bengang_Steel_Plates_Co_Ltd,China,29931,29931.0,exact,"Liaoning, China",Bengang Steel Plates Co Ltd,E100000122467,本钢板材股份有限公司,Bengang Steel Plates Co Ltd,E100000122467 [100.0%],Bengang Steel Plates Co Ltd [100.0%],operating,GIST,GIST,Iron & Steel,ttpa
steel,P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,宝钢湛江钢铁有限公司,Baosteel Zhanjiang Iron & Steel Co Ltd,Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],Guangdong,China,operating,2011,27578,27578.0,"[{'status': 'operating', 'method': 'BOF', 'capacity': '12528'}, {'status': 'operating', 'method': 'EAF', 'capacity': '1800'}, {'status': 'operating', 'method': 'BF', 'capacity': '12250'}, {'status': 'operating', 'method': 'DRI', 'capacity': '1000'}]",BF; BOF; DRI; EAF,Integrated (BF & DRI),21.056035,110.48657,21.056035,110.48657,https://www.gem.wiki/Baosteel_Zhanjiang_Iron_and_Steel_Co_Ltd,China,27578,27578.0,exact,"Guangdong, China",Baosteel Zhanjiang Iron and Steel Co Ltd,E100000121815,宝钢湛江钢铁有限公司,Baosteel Zhanjiang Iron & Steel Co Ltd,E100000122571 [90.0%]; E100000000194 [10.0%],Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],operating,GIST,GIST,Iron & Steel,ttpa
