year,province,source_type,source_available_mtpa_before_calibration,target_available_mtpa_after_calibration,calibration_multiplier,target_source,algorithm
2024,Anhui,coal_power,106.68366,106.68366,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Beijing,chemicals,8.331743,8.331743,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Beijing,coal_power,24.12513,24.12513,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Chongqing,coal_power,33.16941,33.16941,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Chongqing,gas_power,5.52249,5.52249,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Chongqing,steel,9.240033,9.240033,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Fujian,coal_power,105.73038,105.73038,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Fujian,steel,15.911243,15.911243,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Gansu,chemicals,7.347251,7.347251,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Gansu,coal_power,6.79356,6.79356,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guangdong,coal_power,112.58568,112.58568,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guangdong,steel,16.437866,16.437866,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guangxi,aluminum,35.323553,35.323553,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guangxi,coal_power,21.7575,21.7575,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guangxi,lime,11.793772,11.793772,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guangxi,steel,31.788668,31.788668,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guizhou,chemicals,5.507799,5.507799,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Guizhou,coal_power,15.11271,15.11271,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hainan,coal_power,55.24083,55.24083,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hainan,steel,13.677933,13.677933,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hebei,coal_power,27.24867,27.24867,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hebei,steel,19.558281,19.558281,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Heilongjiang,coal_power,19.87011,19.87011,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Heilongjiang,steel,6.075804,6.075804,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Henan,aluminum,10.8645,10.8645,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Henan,chemicals,7.042724,7.042724,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Henan,coal_power,94.9851,94.9851,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Henan,steel,22.578778,22.578778,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hubei,coal_power,77.15079,77.15079,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hubei,steel,23.32443,23.32443,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hunan,coal_power,60.27768,60.27768,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Hunan,steel,19.833757,19.833757,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Inner Mongolia,chemicals,7.6896,7.6896,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Inner Mongolia,coal_power,135.58176,135.58176,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Inner Mongolia,steel,22.650673,22.650673,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jiangsu,cement,6.033113,6.033113,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jiangsu,coal_power,117.47646,117.47646,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jiangsu,steel,54.632237,54.632237,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jiangxi,coal_power,70.13673,70.13673,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jiangxi,lime,5.896886,5.896886,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jiangxi,steel,20.666507,20.666507,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jilin,coal_power,14.1894,14.1894,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Jilin,steel,6.537446,6.537446,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Liaoning,coal_power,61.19037,61.19037,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Liaoning,steel,63.186334,63.186334,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Ningxia,aluminum,5.571538,5.571538,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Ningxia,chemicals,22.376077,22.376077,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Ningxia,coal_power,93.86658,93.86658,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Qinghai,chemicals,17.624976,17.624976,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Qinghai,coal_power,15.4593,15.4593,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Qinghai,steel,7.008503,7.008503,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shaanxi,aluminum,8.357308,8.357308,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shaanxi,coal_power,53.84124,53.84124,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shaanxi,steel,10.011782,10.011782,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shandong,aluminum,25.055334,25.055334,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shandong,chemicals,13.31751,13.31751,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shandong,coal_power,142.41654,142.41654,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shandong,gas_power,15.90174,15.90174,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shandong,steel,36.574702,36.574702,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanghai,chemicals,5.84096,5.84096,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanghai,coal_power,145.87128,145.87128,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanghai,gas_power,31.53996,31.53996,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanghai,steel,83.361076,83.361076,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanxi,aluminum,8.078731,8.078731,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanxi,chemicals,7.995,7.995,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanxi,coal_power,72.91494,72.91494,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Shanxi,steel,12.824787,12.824787,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Sichuan,steel,8.400179,8.400179,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Tianjin,chemicals,8.996492,8.996492,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Tianjin,coal_power,83.8809,83.8809,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Tianjin,steel,195.624376,195.624376,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Xinjiang,coal_power,84.62889,84.62889,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Xinjiang,steel,8.673322,8.673322,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Yunnan,coal_power,17.11638,17.11638,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Yunnan,steel,13.919392,13.919392,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Zhejiang,coal_power,82.72908,82.72908,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
2024,Zhejiang,steel,6.559175,6.559175,1.0,point_source_fallback,target_available_mtpa/source_available_mtpa grouped by province and source_type
