hour_index,province_abbr,load_mwh
1,BJ,13226.9319
1,TJ,8370.441295
1,HE,40132.52731
1,SX,23111.83971
1,NM,35995.22735
1,LN,24481.52452
1,JL,7788.532897
1,HL,10342.58619
1,SH,14504.01407
1,JS,53394.1986
1,ZJ,36447.04706
1,AH,20117.7056
1,FJ,20011.72397
1,JX,12095.25469
1,SD,60206.88697
1,HA,31096.26427
1,HB,21104.57371
1,HN,15828.37582
1,GD,55063.58725
1,GX,16334.70375
1,HI,2965.891938
1,CQ,9422.850844
1,SC,21895.86891
1,GZ,16414.95043
1,YN,17654.03053
1,XZ,752.6835332
1,SN,17151.19672
1,GS,14023.57612
1,QH,8473.255469
1,NX,9356.295735
1,XJ,31184.32632
2,BJ,13077.35309
2,TJ,7965.712449
2,HE,39105.55708
2,SX,22984.66359
2,NM,35595.88472
2,LN,24716.45548
2,JL,7664.431756
2,HL,10036.02536
2,SH,13703.93912
2,JS,53694.43135
2,ZJ,35354.80283
2,AH,19521.0096
2,FJ,19096.24236
2,JX,11709.66145
2,SD,59584.8703
2,HA,31579.56285
2,HB,18431.89432
2,HN,15131.29057
2,GD,51220.34398
2,GX,15273.35743
2,HI,2684.808181
2,CQ,8832.181162
2,SC,22317.25762
2,GZ,15635.22488
2,YN,16629.41214
2,XZ,701.1153455
2,SN,16218.24077
2,GS,13761.73915
2,QH,8549.598569
2,NX,9281.353617
2,XJ,30640.87056
3,BJ,12769.87306
3,TJ,7821.484217
3,HE,38230.49685
3,SX,22796.63633
3,NM,35499.94374
3,LN,24327.6239
3,JL,7599.844269
3,HL,9928.893592
3,SH,13246.57383
3,JS,52519.61723
3,ZJ,34276.97986
3,AH,18975.94516
3,FJ,18481.01666
3,JX,11424.74642
3,SD,58696.73423
3,HA,31669.50002
3,HB,17809.1664
3,HN,14373.25467
3,GD,47188.44683
3,GX,14387.26197
3,HI,2416.245524
3,CQ,8328.041936
3,SC,20712.68701
3,GZ,14854.43323
3,YN,15727.62502
3,XZ,679.2104691
3,SN,15477.11341
3,GS,13489.0028
3,QH,8549.483816
3,NX,9278.56548
3,XJ,30017.14551
4,BJ,12559.13595
4,TJ,7809.781158
4,HE,37242.80614
4,SX,22552.01578
4,NM,35492.05143
4,LN,24133.10216
4,JL,7508.232222
4,HL,9928.081367
4,SH,12822.33089
4,JS,51863.86241
4,ZJ,33781.21293
4,AH,18476.47712
4,FJ,17786.01014
4,JX,11045.92968
4,SD,57833.6885
4,HA,30874.77163
4,HB,17329.22784
4,HN,13948.12926
4,GD,43872.37409
4,GX,13637.95753
4,HI,2243.235881
4,CQ,7969.908701
4,SC,20542.61113
4,GZ,14260.00838
4,YN,15475.73011
4,XZ,646.0153138
4,SN,15257.88704
4,GS,13398.79532
4,QH,8401.725236
4,NX,9309.120912
4,XJ,29841.99964
5,BJ,12484.87309
5,TJ,7664.662535
5,HE,37251.84985
5,SX,22486.96903
5,NM,35322.9779
5,LN,24002.21597
5,JL,7531.821941
5,HL,10010.30465
5,SH,12659.44517
5,JS,51628.13459
5,ZJ,33520.28474
5,AH,18476.39717
5,FJ,17494.58686
5,JX,10850.8326
5,SD,56524.4838
5,HA,30325.57075
5,HB,17223.2486
5,HN,13691.09653
5,GD,40657.82764
5,GX,13413.33905
5,HI,2122.893723
5,CQ,7888.962572
5,SC,20356.30802
5,GZ,14056.07685
5,YN,15149.49668
5,XZ,621.437731
5,SN,15079.24843
5,GS,13285.77612
5,QH,8590.492627
5,NX,9286.325847
5,XJ,29699.57069
6,BJ,12659.85765
6,TJ,7894.704632
6,HE,37771.3831
6,SX,22668.39433
6,NM,35507.52826
6,LN,24588.45673
6,JL,7907.415451
6,HL,10520.92581
6,SH,13116.11879
6,JS,52845.95402
6,ZJ,34027.13927
6,AH,18997.6307
6,FJ,17487.97475
6,JX,11235.33283
6,SD,58330.46176
6,HA,29477.48786
6,HB,17441.29149
6,HN,13947.88002
6,GD,38866.03246
6,GX,13048.32382
6,HI,2087.58085
6,CQ,8066.225493
6,SC,20284.55483
6,GZ,13945.41563
6,YN,15020.93275
6,XZ,625.0565042
6,SN,15257.16473
6,GS,13206.3655
6,QH,8518.006001
6,NX,9356.215423
6,XJ,29698.80179
7,BJ,13189.5024
7,TJ,8198.389343
7,HE,39804.68694
7,SX,22966.32393
7,NM,36124.28032
7,LN,25584.5845
7,JL,8732.109596
7,HL,12004.23023
7,SH,13859.91059
7,JS,56746.87977
7,ZJ,36245.99712
7,AH,20720.58503
7,FJ,18433.88496
7,JX,11577.13875
7,SD,60640.13167
7,HA,32110.01148
7,HB,18694.67526
7,HN,15373.35795
7,GD,37767.53809
7,GX,13886.58064
7,HI,2234.264216
7,CQ,8696.227552
7,SC,20895.12815
7,GZ,14550.24276
7,YN,15475.85688
7,XZ,639.5414303
7,SN,15966.75036
7,GS,13470.05794
7,QH,8624.201614
7,NX,9489.505138
7,XJ,29699.03684
8,BJ,14179.57193
8,TJ,8747.678114
8,HE,44222.77308
8,SX,24341.55515
8,NM,36976.98911
8,LN,26044.42588
8,JL,9236.971144
8,HL,12629.75801
8,SH,14378.02488
8,JS,59191.73565
8,ZJ,38538.83627
8,AH,22795.1711
8,FJ,19970.11287
8,JX,14083.02586
8,SD,65153.11971
8,HA,39901.63987
8,HB,20570.0157
8,HN,18989.36542
8,GD,38098.5877
8,GX,15996.33928
8,HI,2604.857395
8,CQ,9918.252233
8,SC,22079.35352
8,GZ,16603.21479
8,YN,16610.7627
8,XZ,691.3719893
8,SN,18086.65649
8,GS,14113.04913
8,QH,9091.135185
8,NX,9550.852116
8,XJ,29959.21943
9,BJ,14354.12695
9,TJ,9247.212466
9,HE,43986.71201
9,SX,23769.72688
9,NM,36683.31315
9,LN,24073.16775
9,JL,9199.098126
9,HL,12286.2173
9,SH,15272.87163
9,JS,59049.8565
9,ZJ,41811.24927
9,AH,21840.16672
9,FJ,20845.95216
9,JX,14532.74128
9,SD,63655.42185
9,HA,35789.3478
9,HB,21981.79116
9,HN,19292.94591
9,GD,36152.07989
9,GX,16319.59594
9,HI,2751.394942
9,CQ,10995.95634
9,SC,23962.52166
9,GZ,19240.71505
9,YN,18383.90748
9,XZ,767.6631609
9,SN,18579.35127
9,GS,14780.93335
9,QH,9208.623601
9,NX,9294.626928
9,XJ,30019.18098
10,BJ,14974.68116
10,TJ,9962.27285
10,HE,44301.90337
10,SX,23607.76085
10,NM,36653.19602
10,LN,24844.35008
10,JL,9274.80367
10,HL,12368.68815
10,SH,16545.47312
10,JS,59331.57905
10,ZJ,43082.73957
10,AH,20569.31511
10,FJ,22606.71101
10,JX,15205.80799
10,SD,62545.76146
10,HA,34826.32765
10,HB,23129.96063
10,HN,20434.71731
10,GD,38053.32439
10,GX,17540.04152
10,HI,3054.027918
10,CQ,11891.33126
10,SC,26418.11947
10,GZ,21331.06131
10,YN,20455.12419
10,XZ,847.5513492
10,SN,19154.68966
10,GS,14805.64405
10,QH,9147.025461
10,NX,9046.323723
10,XJ,30721.5498
11,BJ,15473.98162
11,TJ,10106.42131
11,HE,44718.49974
11,SX,23176.43093
11,NM,36730.25477
11,LN,25193.7201
11,JL,9326.527911
11,HL,12487.72388
11,SH,17827.92267
11,JS,61922.21601
11,ZJ,44335.19089
11,AH,20494.29658
11,FJ,24413.9884
11,JX,16695.47313
11,SD,62122.49502
11,HA,35955.50592
11,HB,23332.96546
11,HN,21372.22878
11,GD,42214.98161
11,GX,18329.23422
11,HI,3464.249514
11,CQ,12769.2198
11,SC,27972.12319
11,GZ,22035.6724
11,YN,22023.70281
11,XZ,901.7137301
11,SN,19261.76017
11,GS,14975.75142
11,QH,8814.39143
11,NX,9121.456441
11,XJ,30919.51012
12,BJ,15657.78206
12,TJ,10274.0441
12,HE,46057.45554
12,SX,23512.55123
12,NM,36705.80989
12,LN,25339.93444
12,JL,9374.067063
12,HL,12917.80272
12,SH,18113.15821
12,JS,61619.56489
12,ZJ,44451.93232
12,AH,21672.36689
12,FJ,26044.2511
12,JX,17660.95456
12,SD,63665.32717
12,HA,39253.44173
12,HB,23662.76147
12,HN,22852.44691
12,GD,45595.28436
12,GX,18794.43073
12,HI,3484.91024
12,CQ,13459.86767
12,SC,30708.70425
12,GZ,22372.43384
