province_abbr,annual_load_mwh,mean_hourly_load_mwh,min_hourly_load_mwh,max_hourly_load_mwh
BJ,114199999.970299,13036.529677,6491.774396,23067.54693
TJ,86099999.974418,9828.76712,5817.661414,15555.18869
HE,366599999.854309,41849.315052,26850.63872,57881.52364
SX,216099999.92589,24668.949763,18703.31542,33333.3041
NM,335299999.94478,38276.255701,33055.12925,45350.06842
LN,230200000.1111,26278.538825,20600.11911,32992.94679
JL,75099999.998361,8573.059361,5383.038825,11954.1843
HL,97400000.024268,11118.721464,7492.204854,15336.98459
SH,156700000.062957,17888.127861,9693.413605,30481.87275
JS,612800000.197388,69954.337922,33435.05125,105839.9595
ZJ,453299999.802179,51746.57532,16842.99768,80269.90161
AH,213500000.08306,24372.146128,13150.18083,41277.56408
FJ,231400000.059571,26415.525121,11568.93005,37106.08842
JX,142899999.998649,16312.785388,8012.846917,25740.75837
SD,591700000.153579,67545.662118,38650.87329,99835.19123
HA,341799999.8365,39018.264822,23254.83581,67478.88891
HB,207100000.02504,23641.552514,12795.62443,39276.86032
HN,174499999.956597,19920.091319,9415.054626,34651.08856
GD,632299999.913709,72180.365287,21217.48494,110834.2088
GX,170300000.061718,19440.639276,9419.772581,30543.34799
HI,32700000.012466,3732.876714,1919.289556,5452.691554
CQ,111899999.961247,12773.972598,5986.397387,25189.56122
SC,245900000.08322,28070.776265,14818.08013,45266.01661
GZ,148199999.978813,16917.808217,9028.872828,29277.87939
YN,167900000.05027,19166.666672,11307.33712,25356.49396
XZ,6899999.998165,787.671233,451.864591,1457.904993
SN,159399999.93918,18196.347025,11779.29911,27283.34846
GS,128999999.95481,14726.027392,11910.24564,18497.60359
QH,73799999.97555,8424.657531,7503.591982,9477.693923
NX,106499999.998836,12157.534246,8878.291783,14624.59323
XJ,268600000.091769,30662.100467,26380.36473,34884.30686
