year,scope,name_cn,province_abbr,factor_kgco2_per_kwh,definition,source
2023,national,全国,,0.5306,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,regional_grid,华北,,0.6361,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,regional_grid,东北,,0.5122,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,regional_grid,华东,,0.5500,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,regional_grid,华中,,0.5271,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,regional_grid,西北,,0.5543,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,regional_grid,南方,,0.4042,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,regional_grid,西南,,0.2472,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,北京,BJ,0.5554,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,天津,TJ,0.6796,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,河北,HE,0.6516,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,山西,SX,0.6634,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,内蒙古,NM,0.6479,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,辽宁,LN,0.4878,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,吉林,JL,0.4671,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,黑龙江,HL,0.5229,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,上海,SH,0.5737,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,江苏,JS,0.5827,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,浙江,ZJ,0.4974,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,安徽,AH,0.6553,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,福建,FJ,0.4211,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,江西,JX,0.5836,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,山东,SD,0.6191,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,河南,HA,0.5897,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,湖北,HB,0.4044,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,湖南,HN,0.4976,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,广东,GD,0.4419,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,广西,GX,0.4476,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,海南,HI,0.3648,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,重庆,CQ,0.5581,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,四川,SC,0.1564,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,贵州,GZ,0.5683,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,云南,YN,0.1333,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,陕西,SN,0.6335,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,甘肃,GS,0.4471,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,青海,QH,0.1796,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,宁夏,NX,0.6187,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,province,新疆,XJ,0.6021,average_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
2023,national,全国,,0.6096,average_power_co2_factor_excluding_market_traded_non_fossil_power,MEE/NBS announcement on 2023 power CO2 emission factors
2023,national,全国,,0.8273,fossil_power_co2_factor,MEE/NBS announcement on 2023 power CO2 emission factors
