source_table,year,region,product,unit,quantity,extraction_method,status,notes
NBS_China_Statistical_Yearbook_2024_Table_13_13,2023,Shanghai,ethylene,10kt,145.02,manual_transcription_from_official_image,checked,Output of Main Industrial Products by Region
NBS_China_Statistical_Yearbook_2024_Table_13_13,2023,Jiangsu,ethylene,10kt,644.26,manual_transcription_from_official_image,checked,Output of Main Industrial Products by Region
NBS_China_Statistical_Yearbook_2024_Table_13_13,2023,Zhejiang,ethylene,10kt,278.94,manual_transcription_from_official_image,checked,Output of Main Industrial Products by Region
NBS_China_Statistical_Yearbook_2024_Table_13_13,2023,Anhui,ethylene,10kt,31.14,manual_transcription_from_official_image,checked,Output of Main Industrial Products by Region
NBS_China_Statistical_Yearbook_2024_Table_13_13,2023,Fujian,ethylene,10kt,274.82,manual_transcription_from_official_image,checked,Output of Main Industrial Products by Region
NBS_China_Statistical_Yearbook_2024_Table_13_13,2023,Shandong,ethylene,10kt,281.40,manual_transcription_from_official_image,checked,Output of Main Industrial Products by Region
NBS_China_Statistical_Yearbook_2024_Table_09_19,2023,Guangdong,natural_gas,100_million_m3,123.65,manual_transcription_from_official_image,checked,Output of Main Energy Products by Region
NBS_China_Statistical_Yearbook_2024_Table_09_19,2023,Guangxi,natural_gas,100_million_m3,0.36,manual_transcription_from_official_image,checked,Output of Main Energy Products by Region
NBS_China_Statistical_Yearbook_2024_Table_09_19,2023,Hainan,natural_gas,100_million_m3,34.96,manual_transcription_from_official_image,checked,Output of Main Energy Products by Region
NBS_China_Statistical_Yearbook_2024_Table_13_13,2023,Hubei,cement,10kt,9803.35,manual_transcription_from_official_image,checked,Output of Main Industrial Products by Region
NBS_China_Statistical_Yearbook_2024_Table_13_15,2023,China,primary_plastics_capacity,10kt,16333.62,manual_transcription_from_official_image,checked,Production Capacity of Main Industrial Products
NBS_China_Statistical_Yearbook_2024_Table_13_15,2023,China,cement_capacity,10kt,351083.23,manual_transcription_from_official_image,checked,Production Capacity of Main Industrial Products
