Year,Pro_code,Pro_name_CN,Pro_name_EN,PI_all_province,PI_all_province_CR,PI_all_province_EC,PI_all_province_CU,PI_all_province_Tech,PI_all_province_CC,PI_all_province_MB,PI_all_province_CM
2007,11,北京市,Beijing,58.5,0,46.5,12,0,24,10.5,24
2008,11,北京市,Beijing,11.5,0,7.5,4,0,8.5,0,3
2009,11,北京市,Beijing,73.75,0,57.75,12,4,25.5,21.25,27
2010,11,北京市,Beijing,43.5,3,16.5,24,0,39,4.5,0
2011,11,北京市,Beijing,162,89,63,6,4,127.5,21.75,12.75
2012,11,北京市,Beijing,89.5,30,40.5,2,17,45.25,44.25,0
2013,11,北京市,Beijing,69.5,2,49.5,18,0,60,9.5,0
2014,11,北京市,Beijing,33.25,16,17.25,0,0,21.75,11.5,0
2015,11,北京市,Beijing,53.5,22,31.5,0,0,39,8.5,6
2016,11,北京市,Beijing,143.25,58,50.25,2,33,35.5,68,39.75
2017,11,北京市,Beijing,52,26,15,0,11,26,26,0
2018,11,北京市,Beijing,20,6,6,8,0,16,4,0
2019,11,北京市,Beijing,61.5,16,28.5,17,0,45,16.5,0
2020,11,北京市,Beijing,3,0,3,0,0,0,3,0
2021,11,北京市,Beijing,47,7,21,6,13,22,21,4
2022,11,北京市,Beijing,75.5,32,16.5,0,27,36,21.5,18
2007,12,天津市,Tianjin,55.5,0,43.5,12,0,28.5,13.5,13.5
2008,12,天津市,Tianjin,10.5,0,10.5,0,0,7.5,3,0
2009,12,天津市,Tianjin,70.75,0,54.75,12,4,19.5,22.25,29
2010,12,天津市,Tianjin,52.5,3,25.5,24,0,37,3,12.5
2011,12,天津市,Tianjin,170,69,69,6,26,105,52.25,12.75
2012,12,天津市,Tianjin,88,38,33,0,17,35.25,44.75,8
2013,12,天津市,Tianjin,65.5,4,43.5,18,0,54,11.5,0
2014,12,天津市,Tianjin,31.75,0,15.75,8,8,6.75,17,8
2015,12,天津市,Tianjin,37,22,9,0,6,27,10,0
2016,12,天津市,Tianjin,116.75,44,33.75,2,37,18,61.5,37.25
2017,12,天津市,Tianjin,54,26,3,0,25,3,51,0
2018,12,天津市,Tianjin,18,8,0,10,0,10,8,0
2019,12,天津市,Tianjin,56,14,15,27,0,28.5,9.5,18
2020,12,天津市,Tianjin,37.5,6,31.5,0,0,18,19.5,0
2021,12,天津市,Tianjin,87,19,33,6,29,22.5,50.5,14
2022,12,天津市,Tianjin,141,50,54,0,37,61.5,61.5,18
2007,13,河北省,Hebei,49.5,0,37.5,12,0,15,16.5,18
2008,13,河北省,Hebei,19.5,0,19.5,0,0,15,4.5,0
2009,13,河北省,Hebei,67.75,0,51.75,16,0,23.5,17.25,27
2010,13,河北省,Hebei,75.5,3,46.5,20,6,52,17.5,6
2011,13,河北省,Hebei,172,77,69,10,16,136.5,19.75,15.75
2012,13,河北省,Hebei,97.5,38,40.5,0,19,35.25,49.25,13
2013,13,河北省,Hebei,67,0,45,18,4,58.5,8.5,0
2014,13,河北省,Hebei,36.75,2,6.75,28,0,24.75,12,0
2015,13,河北省,Hebei,56,26,18,0,12,35,12,9
2016,13,河北省,Hebei,125.75,48,48.75,2,27,18,72.5,35.25
2017,13,河北省,Hebei,43,22,12,0,9,9,34,0
2018,13,河北省,Hebei,14.5,4,4.5,6,0,7.5,0,7
2019,13,河北省,Hebei,49.5,18,4.5,21,6,28.5,21,0
2020,13,河北省,Hebei,12,0,0,12,0,6,0,6
2021,13,河北省,Hebei,32.5,11,4.5,6,11,6,22.5,4
2022,13,河北省,Hebei,73,18,18,0,37,40,18,15
2007,14,山西省,Shanxi,82.5,0,46.5,16,20,19.5,40.5,22.5
2008,14,山西省,Shanxi,24,0,12,12,0,4.5,15,4.5
2009,14,山西省,Shanxi,119.25,0,71.25,24,24,58.5,30.75,30
