FID,County name,Province name,Storage potential-DSA (Mt),Storage potential-EOR (Mt),Storage potential-ALL (Mt),Injection rate capability-DSA (Mt/a),Injection rate capability-EOR (Mt/a)
0,Daguan District,Anhui,0,0,0,0,0
1,Huining County,Anhui,0,0,0,0,0
2,Qianshan City,Anhui,0,0,0,0,0
3,Susong County,Anhui,0,0,0,0,0
4,Taihu County,Anhui,0,0,0,0,0
5,Tongcheng City,Anhui,0,0,0,0,0
6,Wangjiang County,Anhui,0,0,0,0,0
7,Yixiu District,Anhui,0,0,0,0,0
8,Yingjiang District,Anhui,0,0,0,0,0
9,Yuexi County,Anhui,0,0,0,0,0
10,Bangshan District,Anhui,0,0,0,0,0
11,Guzhen County,Anhui,0,0,0,0,0
12,Huaiyuan County,Anhui,0,0,0,0,0
13,Huaishang District,Anhui,0,0,0,0,0
14,Longzi Lake District,Anhui,0,0,0,0,0
15,Wuhe County,Anhui,0,0,0,0,0
16,Yuhuai District,Anhui,0,0,0,0,0
17,Leesing County,Anhui,3602.43,0,3602.43,36.09,0
18,Mengcheng County,Anhui,0,0,0,0,0
19,Qiaocheng District,Anhui,890.67,0,890.67,38.91,0
20,Guoyang County,Anhui,166.66,0,166.66,10.63,0
21,Dongzhi County,Anhui,0,0,0,0,0
22,Kuichi District,Anhui,0,0,0,0,0
23,Qingyang County,Anhui,0,0,0,0,0
24,Shitai County,Anhui,0,0,0,0,0
25,Dingyuan County,Anhui,11803.47,0,11803.47,1.77,0
26,Fengyang County,Anhui,0,0,0,0,0
27,Lai 'an County,Anhui,831.63,0,831.63,5.4,0
28,Langya District,Anhui,168.34,0,168.34,3.79,0
29,Meizuang City,Anhui,665.29,0,665.29,3.79,0
30,Nanqiao District,Anhui,230.19,0,230.19,3.79,0
31,Quanjiao County,Anhui,0,0,0,0,0
32,Tianchang City,Anhui,1127.34,4.99,1132.33,6.79,13.95
33,Funan County,Anhui,146.34,0,146.34,4.52,0
34,Jieshou City,Anhui,2685.05,0,2685.05,23,0
35,Linquan County,Anhui,1652.68,0,1652.68,33.72,0
36,Taihe County,Anhui,6974.34,0.04,6974.38,27.88,14.64
37,Yingdong District,Anhui,207.16,0,207.16,17.83,0
38,Yingquan District,Anhui,557.34,0,557.34,25.94,0
39,Yingshang County,Anhui,1672.7,0,1672.7,0.35,0
40,Yingzhou District,Anhui,433.45,0,433.45,11,0
41,Baohe District,Anhui,1884.12,0,1884.12,0.78,0
42,Chaohu City,Anhui,0,0,0,0,0
43,Feidong County,Anhui,12325.68,0,12325.68,1.72,0
44,Feixi County,Anhui,4737.42,0,4737.42,0.59,0
45,Lujiang County,Anhui,200.83,0,200.83,0.16,0
46,Luyang District,Anhui,313.56,0,313.56,0.14,0
47,Shushan District,Anhui,1653.24,0,1653.24,0.27,0
48,Yaohai District,Anhui,1001.99,0,1001.99,0.46,0
49,Changfeng County,Anhui,6432.08,0,6432.08,1.14,0
50,Dujskiy District,Anhui,0,0,0,0,0
51,Lieshan District,Anhui,0,0,0,0,0
52,Suixi County,Anhui,0,0,0,0,0
53,Xiangshan District,Anhui,0,0,0,0,0
54,Bagongshan District,Anhui,0,0,0,0,0
55,Datong District,Anhui,124.74,0,124.74,0.13,0
56,Fengtai County,Anhui,146.54,0,146.54,0.03,0
57,Panjic District,Anhui,0,0,0,0,0
58,Shou County,Anhui,4786.71,0,4786.71,0.14,0
59,Tian Jia 'an District,Anhui,124,0,124,0.05,0
60,Xie Jia gathering District,Anhui,248,0,248,0.05,0
61,Huangshan District,Anhui,0,0,0,0,0
62,Huizhou District,Anhui,0,0,0,0,0
63,Qimen County,Anhui,0,0,0,0,0
64,Shexian County (in Anhui Province),Anhui,0,0,0,0,0
