destination_id,prefecture_code,prefecture_name,prefecture_name_en,province_code,province,latitude,longitude,eor_injection_rate_avg_mtpa,eor_storage_potential_mt,eor_annual_capacity_mtco2_per_year,positive_injection_pixel_count,positive_storage_pixel_count,published_province_eor_injection_rate_avg_mtpa,published_province_eor_storage_potential_mt,storage_horizon_years,source_url,evidence_grade,notes
EOR_370500,370500,东营市,Dongying,370000,Shandong,37.434564,118.66471,27.591951,487.982374,24.399119,104,105,39.13,591.76,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_230600,230600,大庆市,Daqing,230000,Heilongjiang,46.590734,125.11272,7.293485,1367.659183,7.293485,31,31,7.92,1415.07,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_632800,632800,海西蒙古族藏族自治州,Haixi,630000,Qinghai,37.374663,97.370785,20.62,144.4,7.22,8,8,20.62,144.4,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_210200,210200,大连市,Dalian,210000,Liaoning,38.91459,121.618622,5.380737,109.529084,5.380737,15,16,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_211400,211400,葫芦岛市,Huludao,210000,Liaoning,40.755572,120.856394,11.051079,97.487409,4.87437,25,25,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_220700,220700,松原市,Songyuan,220000,Jilin,45.118243,124.823608,4.620352,237.231523,4.620352,27,27,11.35,304.09,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_130200,130200,唐山市,Tangshan,130000,Hebei,39.635113,118.175393,5.592224,85.519528,4.275976,28,29,27.01,208.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_650400,650400,吐鲁番市,Turpan,650000,Xinjiang,42.947613,89.184078,4.245523,209.568903,4.245523,36,36,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_211100,211100,盘锦市,Panjin,210000,Liaoning,41.124484,122.06957,9.622187,66.174553,3.308728,22,22,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_130300,130300,秦皇岛市,Qinhuangdao,130000,Hebei,39.942531,119.586579,6.930317,63.790703,3.189535,32,32,27.01,208.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_410900,410900,濮阳市,Puyang,410000,Henan,35.768234,115.041299,2.955634,143.198477,2.955634,13,13,22.64,182.33,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_371600,371600,滨州市,BinZhou,370000,Shandong,37.383542,118.016974,10.164987,48.524692,2.426235,24,27,39.13,591.76,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_120000,120000,天津市,TianJin,120000,Tianjin,39.125596,117.190182,52.51,48.05,2.4025,24,24,52.51,48.05,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_411300,411300,南阳市,NanYang,410000,Henan,32.999082,112.540918,19.513837,37.925135,1.896257,14,14,22.64,182.33,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_130900,130900,沧州市,CangZhou,130000,Hebei,38.310582,116.857461,6.846215,36.576631,1.828832,30,30,27.01,208.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_152500,152500,锡林郭勒盟,XiLinGuoLei,150000,Inner Mongolia,43.944018,116.090996,1.783251,57.942369,1.783251,16,16,3.09,178.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_621000,621000,庆阳市,QingYang,620000,Gansu,35.734218,107.638372,1.639131,353.372065,1.639131,21,23,1.64,353.38,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_220800,220800,白城市,BaiCheng,220000,Jilin,45.619026,122.841114,6.278252,31.003977,1.550199,5,5,11.35,304.09,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_321000,321000,扬州市,YangZhou,320000,Jiangsu,32.393159,119.421003,9.719621,30.017284,1.500864,16,16,64.89,63.6,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_321200,321200,泰州市,TaiZhou,320000,Jiangsu,32.484882,119.915176,49.192967,28.520967,1.426048,28,29,64.89,63.6,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_610600,610600,延安市,YanAn,610000,Shaanxi,36.596537,109.49081,1.304908,493.675297,1.304908,18,19,1.42,500.37,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_370600,370600,烟台市,YanTai,370000,Shandong,37.539297,121.391382,1.248328,30.855507,1.248328,8,8,39.13,591.76,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_429005,429005,潜江市,QianJiang,420000,Hubei,30.421215,112.896866,7.060048,24.933668,1.246683,17,17,11.01,32.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_210800,210800,营口市,YingKou,210000,Liaoning,40.667432,122.235151,3.665778,19.932285,0.996614,12,12,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_650200,650200,克拉玛依市,KeLaMaYi,650000,Xinjiang,45.595886,84.873946,0.873202,365.726368,0.873202,13,13,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
