FID,Province name,Storage potential-DSA (Mt),Storage potential-EOR (Mt),Storage potential-ALL (Mt),Injection rate capability-DSA (Mt/a) (Average),Injection rate capability-DSA (Mt/a) (Minimum),Injection rate capability-DSA (Mt/a) (Maximum),Injection rate capability-EOR (Mt/a) (Average),Injection rate capability-EOR (Mt/a) (Minimum),Injection rate capability-EOR (Mt/a) (Maximum)
1,Anhui,82366.76,5.04,82371.8,7.49,0.03,38.91,14.3,13.95,14.64
2,Macao Special Administrative Region,0,0,0,0,0,0,0,0,0
3,Beijing,0,0.94,0.94,0,0,0,26.66,0,53.32
4,Fujian,0,0,0,0,0,0,0,0,0
5,Gansu,1558.05,353.38,1911.43,0.12,0.01,0.49,1.64,0.01,8.32
6,Guangdong,0,0,0,0,0,0,0,0,0
7,Guangxi Zhuang Autonomous Region,0,0,0,0,0,0,0,0,0
8,Guizhou,479.72,0.11,479.83,0.01,0.01,0.01,0.01,0.01,0.01
9,Hainan,0,0,0,0,0,0,0,0,0
10,Hebei,55671.16,208.36,55879.52,29.78,6.25,122.77,27.01,0,78.32
11,Henan,49237.26,182.33,49419.59,19.23,0.01,124.67,22.64,0,52.4
12,Heilongjiang,139802.91,1415.07,141217.98,8.73,0.08,94.65,7.92,0,55.77
13,Hubei,5875.22,32.49,5907.71,0.35,0.01,3.03,11.01,0.01,69.89
14,Hunan,7.64,0,7.64,0.05,0.02,0.09,0,0,0
15,Jilin,43325.64,304.09,43629.73,0.43,0.02,1.08,11.35,0,55.77
16,Jiangsu,75089.42,63.6,75153.02,15.76,5.4,34.07,64.89,0,134.77
17,Jiangxi,0,0,0,0,0,0,0,0,0
18,Liaoning,139.03,318.79,457.82,0.1,0.1,0.1,32.66,0,62.74
19,Inner Mongolia Autonomous Region,75459.38,178.49,75637.87,3.39,0,14.67,3.09,0,12.72
20,Ningxia Hui Autonomous Region,2185.76,5.75,2191.51,0.16,0,0.79,1,0,2.69
21,Qinghai,41735.55,144.4,41879.95,13.17,8.78,17.56,20.62,20.62,20.62
22,Shandong,167.69,591.76,759.45,15,15,15,39.13,0,152.46
23,Shanxi,12715.7,0,12715.7,0.11,0.03,0.17,0,0,0
24,Shaanxi,5949.52,500.37,6449.89,0.1,0,0.79,1.42,0,8.32
25,Shanghai,0,0,0,0,0,0,0,0,0
26,Sichuan,28086.32,37.75,28124.07,0.01,0.01,0.02,0.29,0.01,2.76
27,Taiwan,0,0,0,0,0,0,0,0,0
28,Tianjin,10298.94,48.05,10346.99,88.41,44.99,122.77,52.51,52.1,53.32
29,Tibet Autonomous Region,0,0,0,0,0,0,0,0,0
30,Hong Kong Special Administrative Region,0,0,0,0,0,0,0,0,0
31,Xinjiang Uygur Autonomous Region,361192.21,685.73,361877.94,7.38,0.21,32.5,5.92,0,27.58
32,Yunnan,364.6,0,364.6,0.02,0.01,0.02,0,0,0
33,Zhejiang,0,0,0,0,0,0,0,0,0
34,Chongqing,8024.72,11.36,8036.08,0.01,0.01,0.01,0.01,0.01,0.01
