level,region,county,storage_potential_all_mt,dsa_injection_rate_avg_mtpa,dsa_injection_rate_min_mtpa,dsa_injection_rate_max_mtpa,eor_injection_rate_avg_mtpa,eor_injection_rate_min_mtpa,eor_injection_rate_max_mtpa,screening_injection_capacity_mtpa,years_to_fill_at_avg_injection,source_url,evidence_grade,notes
province,Anhui,,82371.8,7.49,0.03,38.91,14.3,13.95,14.64,21.79,3780.256998623222,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Macao Special Administrative Region,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Beijing,,0.94,0.0,0.0,0.0,26.66,0.0,53.32,26.66,0.035258814703675916,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Fujian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Gansu,,1911.43,0.12,0.01,0.49,1.64,0.01,8.32,1.7599999999999998,1086.039772727273,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Guangdong,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Guangxi Zhuang Autonomous Region,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Guizhou,,479.83,0.01,0.01,0.01,0.01,0.01,0.01,0.02,23991.5,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Hainan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Hebei,,55879.52,29.78,6.25,122.77,27.01,0.0,78.32,56.790000000000006,983.9675999295649,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Henan,,49419.59,19.23,0.01,124.67,22.64,0.0,52.4,41.870000000000005,1180.310245999522,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Heilongjiang,,141217.98,8.73,0.08,94.65,7.92,0.0,55.77,16.65,8481.560360360361,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Hubei,,5907.71,0.35,0.01,3.03,11.01,0.01,69.89,11.36,520.0448943661972,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Hunan,,7.64,0.05,0.02,0.09,0.0,0.0,0.0,0.05,152.79999999999998,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Jilin,,43629.73,0.43,0.02,1.08,11.35,0.0,55.77,11.78,3703.712224108659,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Jiangsu,,75153.02,15.76,5.4,34.07,64.89,0.0,134.77,80.65,931.8415375077495,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Jiangxi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Liaoning,,457.82,0.1,0.1,0.1,32.66,0.0,62.74,32.76,13.974969474969475,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Inner Mongolia Autonomous Region,,75637.87,3.39,0.0,14.67,3.09,0.0,12.72,6.48,11672.510802469134,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Ningxia Hui Autonomous Region,,2191.51,0.16,0.0,0.79,1.0,0.0,2.69,1.16,1889.23275862069,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Qinghai,,41879.95,13.17,8.78,17.56,20.62,20.62,20.62,33.79,1239.4184670020716,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Shandong,,759.45,15.0,15.0,15.0,39.13,0.0,152.46,54.13,14.030112691668206,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Shanxi,,12715.7,0.11,0.03,0.17,0.0,0.0,0.0,0.11,115597.27272727274,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Shaanxi,,6449.89,0.1,0.0,0.79,1.42,0.0,8.32,1.52,4243.348684210527,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Shanghai,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Sichuan,,28124.07,0.01,0.01,0.02,0.29,0.01,2.76,0.3,93746.90000000001,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Taiwan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Tianjin,,10346.99,88.41,44.99,122.77,52.51,52.1,53.32,140.92,73.42456713028669,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Tibet Autonomous Region,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Hong Kong Special Administrative Region,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Xinjiang Uygur Autonomous Region,,361877.94,7.38,0.21,32.5,5.92,0.0,27.58,13.3,27208.86766917293,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Yunnan,,364.6,0.02,0.01,0.02,0.0,0.0,0.0,0.02,18230.0,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Zhejiang,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
province,Chongqing,,8036.08,0.01,0.01,0.01,0.01,0.01,0.01,0.02,401804.0,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,Regional injection-rate capacity from gridded China storage dataset; not a reservoir pressure simulation.
county,Anhui,Daguan District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Huining County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Qianshan City,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Susong County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Taihu County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Tongcheng City,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Wangjiang County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yixiu District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yingjiang District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yuexi County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Bangshan District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Guzhen County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Huaiyuan County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Huaishang District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Longzi Lake District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Wuhe County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yuhuai District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Leesing County,3602.43,36.09,,,0.0,,,36.09,99.81795511221944,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Mengcheng County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Qiaocheng District,890.67,38.91,,,0.0,,,38.91,22.8905165767155,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Guoyang County,166.66,10.63,,,0.0,,,10.63,15.678269049858889,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Dongzhi County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Kuichi District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Qingyang County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Shitai County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Dingyuan County,11803.47,1.77,,,0.0,,,1.77,6668.627118644067,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Fengyang County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Lai 'an County,831.63,5.4,,,0.0,,,5.4,154.00555555555553,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Langya District,168.34,3.79,,,0.0,,,3.79,44.41688654353562,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Meizuang City,665.29,3.79,,,0.0,,,3.79,175.5382585751979,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Nanqiao District,230.19,3.79,,,0.0,,,3.79,60.736147757255935,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Quanjiao County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Tianchang City,1132.33,6.79,,,13.95,,,20.74,54.59643201542912,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Funan County,146.34,4.52,,,0.0,,,4.52,32.37610619469027,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Jieshou City,2685.05,23.0,,,0.0,,,23.0,116.7413043478261,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Linquan County,1652.68,33.72,,,0.0,,,33.72,49.01186239620404,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Taihe County,6974.38,27.88,,,14.64,,,42.519999999999996,164.02587017873944,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yingdong District,207.16,17.83,,,0.0,,,17.83,11.618620302860348,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yingquan District,557.34,25.94,,,0.0,,,25.94,21.48573631457209,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yingshang County,1672.7,0.35,,,0.0,,,0.35,4779.142857142858,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yingzhou District,433.45,11.0,,,0.0,,,11.0,39.404545454545456,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Baohe District,1884.12,0.78,,,0.0,,,0.78,2415.5384615384614,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Chaohu City,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Feidong County,12325.68,1.72,,,0.0,,,1.72,7166.093023255814,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Feixi County,4737.42,0.59,,,0.0,,,0.59,8029.5254237288145,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Lujiang County,200.83,0.16,,,0.0,,,0.16,1255.1875,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Luyang District,313.56,0.14,,,0.0,,,0.14,2239.7142857142853,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Shushan District,1653.24,0.27,,,0.0,,,0.27,6123.11111111111,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yaohai District,1001.99,0.46,,,0.0,,,0.46,2178.2391304347825,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Changfeng County,6432.08,1.14,,,0.0,,,1.14,5642.175438596491,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Dujskiy District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Lieshan District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Suixi County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Xiangshan District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Bagongshan District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Datong District,124.74,0.13,,,0.0,,,0.13,959.5384615384614,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Fengtai County,146.54,0.03,,,0.0,,,0.03,4884.666666666667,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Panjic District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Shou County,4786.71,0.14,,,0.0,,,0.14,34190.78571428571,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Tian Jia 'an District,124.0,0.05,,,0.0,,,0.05,2480.0,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Xie Jia gathering District,248.0,0.05,,,0.0,,,0.05,4960.0,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Huangshan District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Huizhou District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Qimen County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Shexian County (in Anhui Province),0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Tunxi District,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Xiuning County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Yi County,0.0,0.0,,,0.0,,,0.0,inf,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
county,Anhui,Huoqiu County,5303.01,0.33,,,0.0,,,0.33,16069.727272727272,https://www.nature.com/articles/s41597-025-04875-3; https://doi.org/10.6084/m9.figshare.27646707,B,"County-level injection capacity; pressure interference, plume geometry, and well count still need reservoir simulation."
