change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNARS,Aershan,Aershan,NM,--3-----,AS,1401,,,,,,0
,CNAHK,Aheitubieke,Aheitubieke,XJ,--3-----,AS,1401,,,,,,0
,CNAID,Aidian,Aidian,GX,--3-----,AS,1601,,2149N 10701E,,21.816667,107.016667,0
,CNAKU,Aksu,Aksu,XJ,---4----,RL,1401,,3840N 07540E,,38.666667,75.666667,0
,CNAKL,Alatawshankou,Alatawshankou,XJ,-23---7-,AS,1601,,4511N 08226E,,45.183333,82.433333,0
,CNAAT,Altay,Altay,XJ,-234----,RL,2107,,4752N 08807E,,47.866667,88.116667,0
=,CN,Amoy = Xiamen Gaoqi International Apt,Amoy = Xiamen Gaoqi International Apt,,,,,,,,,,0
,CNANJ,Anji,Anji,ZJ,--3--6--,AS,2001,,3038N 11940E,,30.633333,119.666667,0
,CNAKA,Ankang,Ankang,SN,-234----,RL,2107,,,,,,0
,CNANN,Anning,Anning,YN,-23-----,RL,0607,,2454N 10229E,,24.900000,102.483333,0
,CNANP,Anping,Anping,LN,-2------,RL,1401,,4109N 12305E,,41.150000,123.083333,0
,CNAPP,Anpu,Anpu,GD,1-------,RL,1401,,2123N 10950E,,21.383333,109.833333,1
,CNAQG,Anqing,Anqing,AH,123-----,AS,2107,,3031N 11702E,,30.516667,117.033333,1
,CNANQ,Anqiu,Anqiu,SD,1-3-----,RL,0601,,3625N 11911E,,36.416667,119.183333,1
,CNASN,Anshan,Anshan,LN,-2------,AS,1601,,4107N 12300E,,41.116667,123.000000,0
,CNAOG,Anshan Teng'ao Apt,Anshan Teng'ao Apt,LN,---4-6--,RL,1401,,4110N 12302E,,41.166667,123.033333,0
,CNANS,Anshun,Anshun,GZ,-23-----,RL,0501,,2615N 10556E,,26.250000,105.933333,0
,CNANT,Anting,Anting,SH,1----6--,RL,1107,,3118N 12109E,,31.300000,121.150000,1
,CNANX,"Anxi,Quanzhou","Anxi,Quanzhou",FJ,-23--6--,,2307,,2504N 11812E,,25.066667,118.200000,0
,CNAYS,Anyang,Anyang,HA,-----6--,AS,1407,,,,,,0
,CNAJG,Aojiang Pt,Aojiang Pt,ZJ,1-------,AS,1401,,2735N 12027E,,27.583333,120.450000,1
,CNASW,Aoshanwei,Aoshanwei,SD,1----6--,RQ,1001,,3621N 12040E,,36.350000,120.666667,1
,CNART,Arhaxat,Arhaxat,NM,--3-----,AS,1401,,,,,,0
,CNASM,Asjman,Asjman,11,--3-----,RQ,0901,,,,,,0
,CNBCO,Bacao,Bacao,GZ,1-------,RL,1401,,2528N 10547E,,25.466667,105.783333,1
,CNBDG,Badong,Badong,HB,1-------,RL,1401,,3102N 11023E,,31.033333,110.383333,1
,CNBGG,Bagong,Bagong,GZ,--3-----,RL,0607,,2658N 10840E,,26.966667,108.666667,0
,CNBAH,Bahe,Bahe,HB,1-------,RL,1401,,,,,,1
,CNBCG,Baiceng,Baiceng,GZ,1-------,RL,1401,,2526N 10548E,,25.433333,105.800000,1
¦,CNBAI,Baicheng,Baicheng,JL,-23-----,RL,2407,,4537N 12250E,coordinates,45.616667,122.833333,0
,CNBLO,Bailuo,Bailuo,HB,1-------,RL,1401,,,,,,1
,CNBMJ,Baimajing,Baimajing,HI,1-3-----,RL,1401,,1942N 10913E,,19.700000,109.216667,1
,CNIMA,Baimao,Baimao,SD,1-------,RL,1401,,3501N 11836E,,35.016667,118.600000,1
,CNBSE,Baise,Baise,GX,1-------,RL,1401,,,,,,1
¦,CNBSH,Baishan,Baishan,JL,-23--6--,RL,2407,,4156N 12625E,coordinates,41.933333,126.416667,0
,CNBSI,Baishi,Baishi,HL,1-------,RL,1401,,,,,,1
,CNBYG,Baiyang,Baiyang,HB,1-------,RL,1401,,3026N 11131E,,30.433333,111.516667,1
,CNBYU,Baiyun,Baiyun,GD,--3-----,RL,1401,,2515N 11404E,,25.250000,114.066667,0
,CNBKT,Baketu,Baketu,XJ,--3-----,AS,1401,,,,,,0
,CNBLI,Bali,Bali,HB,1-------,RL,1401,,,,,,1
,CNBPX,Bangda,Bangda,XZ,---4----,RL,0907,,3033N 09707E,,30.550000,97.116667,0
,CNBON,Bao'an,Bao'an,GD,--3-----,RL,0307,,2455N 11223E,,24.916667,112.383333,0
,CNBDZ,Baoding,Baoding,HE,-----6--,AS,1401,,3851N 11530E,,38.850000,115.500000,0
,CNBOJ,Baoji,Baoji,SN,-----6--,AS,1401,,3422N 10709E,,34.366667,107.150000,0
,CNBQI,Baoqing,Baoqing,HL,-----6--,RL,1107,,4619N 13212E,,46.316667,132.200000,0
,CNBAN,Baoshan,Baoshan,YN,--3-----,AS,1501,,2507N 09909E,,25.116667,99.150000,0
,CNBSD,Baoshan Pt,Baoshan Pt,SH,1-------,AS,1601,,3125N 12129E,,31.416667,121.483333,1
,CNBOT,Baotou,Baotou,NM,-----6--,AS,1601,,4039N 10949E,,40.650000,109.816667,0
,CNBYI,Baoying,Baoying,32,--3-----,RL,0901,,3313N 11918E,,33.216667,119.300000,0
,CNBSP,Basuo Pt,Basuo Pt,HI,1-------,AS,1407,,1900N 10837E,,19.000000,108.616667,1
,CNBAU,Baxu,Baxu,JS,1-------,RL,1401,,,,,,1
,CNBYA,Bayan,Bayan,HL,1-------,RL,1401,,4605N 12724E,,46.083333,127.400000,1
,CNBYO,Bayan Obo,Bayan Obo,NM,-2------,RL,1401,,4146N 10958E,,41.766667,109.966667,0
¦,CNRLK,Bayannur,Bayannur,NM,-234-6--,AA,2407,,4044N 10722E,,40.733333,107.366667,0
,CNBSX,Bayin,Bayin,NM,-23-----,RL,1401,,3633N 10412E,,36.550000,104.200000,0
,CNBYQ,Bayuquan,Bayuquan,LN,1-------,AS,1407,,,,,,1
,CNBAZ,Bazhou,Bazhou,13,--3-----,RL,0901,,3906N 11623E,,39.100000,116.383333,0
,CNBIC,Beicun,Beicun,GD,1-------,AS,1401,,,,,,1
,CNBHY,Beihai,Beihai,GX,-234----,AS,2107,,2132N 10917E,,21.533333,109.283333,0
,CNBIH,Beihai Pt,Beihai Pt,GX,1-------,AS,1601,,2128N 10907E,,21.466667,109.116667,1
,CNBIJ,Beijiao,Beijiao,GD,1-------,AS,1601,,2255N 11312E,,22.916667,113.200000,1
,CNBJO,Beijiao,Beijiao,FJ,--3-----,RL,0907,,2621N 11955E,,26.350000,119.916667,0
,CNBJS,Beijing,Beijing,BJ,-23456--,AS,1601,,3955N 11624E,,39.916667,116.400000,0
,CNBJZ,Beijing Railway Station,Beijing Railway Station,BJ,-2------,AS,1601,,,,,,0
,CNPEK,Beijing Shoudu International Apt,Beijing Shoudu International Apt,BJ,---4----,AS,1601,,,,,,0
,CNBJD,Beijingdong Railway Station,Beijingdong Railway Station,BJ,-2------,AS,1601,,,,,,0
,CNBJX,Beijingxi Railway Station,Beijingxi Railway Station,BJ,-2------,AS,1601,,,,,,0
