change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNAPP,Anpu,Anpu,GD,1-------,RL,1401,,2123N 10950E,,21.383333,109.833333,1
,CNAQG,Anqing,Anqing,AH,123-----,AS,2107,,3031N 11702E,,30.516667,117.033333,1
,CNANQ,Anqiu,Anqiu,SD,1-3-----,RL,0601,,3625N 11911E,,36.416667,119.183333,1
,CNANT,Anting,Anting,SH,1----6--,RL,1107,,3118N 12109E,,31.300000,121.150000,1
,CNAJG,Aojiang Pt,Aojiang Pt,ZJ,1-------,AS,1401,,2735N 12027E,,27.583333,120.450000,1
,CNASW,Aoshanwei,Aoshanwei,SD,1----6--,RQ,1001,,3621N 12040E,,36.350000,120.666667,1
,CNBCO,Bacao,Bacao,GZ,1-------,RL,1401,,2528N 10547E,,25.466667,105.783333,1
,CNBDG,Badong,Badong,HB,1-------,RL,1401,,3102N 11023E,,31.033333,110.383333,1
,CNBAH,Bahe,Bahe,HB,1-------,RL,1401,,,,,,1
,CNBCG,Baiceng,Baiceng,GZ,1-------,RL,1401,,2526N 10548E,,25.433333,105.800000,1
,CNBLO,Bailuo,Bailuo,HB,1-------,RL,1401,,,,,,1
,CNBMJ,Baimajing,Baimajing,HI,1-3-----,RL,1401,,1942N 10913E,,19.700000,109.216667,1
,CNIMA,Baimao,Baimao,SD,1-------,RL,1401,,3501N 11836E,,35.016667,118.600000,1
,CNBSE,Baise,Baise,GX,1-------,RL,1401,,,,,,1
,CNBSI,Baishi,Baishi,HL,1-------,RL,1401,,,,,,1
,CNBYG,Baiyang,Baiyang,HB,1-------,RL,1401,,3026N 11131E,,30.433333,111.516667,1
,CNBLI,Bali,Bali,HB,1-------,RL,1401,,,,,,1
,CNBSD,Baoshan Pt,Baoshan Pt,SH,1-------,AS,1601,,3125N 12129E,,31.416667,121.483333,1
,CNBSP,Basuo Pt,Basuo Pt,HI,1-------,AS,1407,,1900N 10837E,,19.000000,108.616667,1
,CNBAU,Baxu,Baxu,JS,1-------,RL,1401,,,,,,1
,CNBYA,Bayan,Bayan,HL,1-------,RL,1401,,4605N 12724E,,46.083333,127.400000,1
,CNBYQ,Bayuquan,Bayuquan,LN,1-------,AS,1407,,,,,,1
,CNBIC,Beicun,Beicun,GD,1-------,AS,1401,,,,,,1
,CNBIH,Beihai Pt,Beihai Pt,GX,1-------,AS,1601,,2128N 10907E,,21.466667,109.116667,1
,CNBIJ,Beijiao,Beijiao,GD,1-------,AS,1601,,2255N 11312E,,22.916667,113.200000,1
,CNBEI,Beilun,Beilun,ZJ,1-3-----,RQ,0407,,2956N 12153E,,29.933333,121.883333,1
,CNBLG,Beilun Pt,Beilun Pt,ZJ,1-------,AS,1407,,,,,,1
,CNSXB,Beitan,Beitan,GD,1-------,AS,1407,,2122N 11015E,,21.366667,110.250000,1
,CNBIY,Beiyao,Beiyao,GD,1-------,RL,1401,,,,,,1
,CNPHB,Bijia,Bijia,GD,1-------,AS,1407,,2237N 11451E,,22.616667,114.850000,1
,CNBHX,Binhai,Binhai,JS,1-------,AS,1601,,3343N 11937E,,33.716667,119.616667,1
,CNBYN,Binyang,Binyang,FJ,123-----,RL,1401,,2715N 12020E,,27.250000,120.333333,1
,CNBOA,Boao,Boao,HI,1-------,RL,1401,,,,,,1
,CNDBX,Bohe,Bohe,GD,1-------,AS,1407,,2131N 11100E,,21.516667,111.000000,1
,CNBZG,Bozhong,Bozhong,TJ,1-----7-,AS,1401,,3827N 11826E,,38.450000,118.433333,1
,CNBHE,Buhe,Buhe,HB,1-------,RL,1401,,,,,,1
,CNGSA,Cangshan,Cangshan,SD,1-3-----,RL,0601,,3451N 11803E,,34.850000,118.050000,1
,CNCGW,Cangwu,Cangwu,GX,1-3-----,RL,1401,,2329N 11119E,,23.483333,111.316667,1
,CNCFD,Caofeidian Pt,Caofeidian Pt,HE,1-------,AS,1401,,3857N 11832E,,38.950000,118.533333,1
,CNCJG,Caojing,Caojing,SH,1-3-----,RL,0401,,3047N 12124E,,30.783333,121.400000,1
,CNCDH,Changdianhekou,Changdianhekou,LN,1-------,AS,1401,,4025N 12448E,,40.416667,124.800000,1
,CNCAH,Changhua,Changhua,HI,1-------,RL,1401,,,,,,1
,CNCGJ,Changjing,Changjing,JS,1-------,RL,1401,,,,,,1
,CNCSH,Changsha,Changsha,HN,12-45---,AS,1701,,2812N 11259E,,28.200000,112.983333,1
,CNCSJ,Changshou,Changshou,JS,1-------,RL,1401,,,,,,1
,CNCSO,Changshou,Changshou,CQ,1-------,RL,1401,,,,,,1
,CNCGS,Changshu Pt,Changshu Pt,JS,1-------,AS,1601,,3139N 12043E,,31.650000,120.716667,1
,CNCZX,Changzhou,Changzhou,JS,1234----,AS,2107,,3147N 11958E,,31.783333,119.966667,1
,CNCHU,Chaohu,Chaohu,AH,123-----,RL,0601,,3136N 11751E,,31.600000,117.850000,1
,CNCHY,Chaoyang Pt,Chaoyang Pt,GD,1-------,AS,1601,,2316N 11636E,,23.266667,116.600000,1
,CNCOZ,Chaozhou,Chaozhou,GD,123-----,AS,2107,,2340N 11638E,,23.666667,116.633333,1
,CNCBG,Chen Barag,Chen Barag,NM,1-------,RL,1401,,,,,,1
,CNCUN,Chencun,Chencun,GD,1-3-----,RL,0601,,2257N 11314E,,22.950000,113.233333,1
,CNCHE,Chengaogang,Chengaogang,FJ,1-------,AS,1407,,,,,,1
,CNCNG,Chengde,Chengde,HE,123-----,RL,0907,,4058N 11756E,,40.966667,117.933333,1
,CNCJI,Chengjiang,Chengjiang,JS,1-------,RL,1401,,,,,,1
,CNCLJ,Chenglingji Pt,Chenglingji Pt,HN,1-------,AS,1407,,2926N 11309E,,29.433333,113.150000,1
