year,region,product,grade,market_type,price_low_usd_per_kg,price_base_usd_per_kg,price_high_usd_per_kg,price_distribution,price_driver,volume_limit_t_per_year,source,notes,evidence_grade,source_url
2030,all,none,none,none,0.0,0.0,0.0,triangular,china_2060_policy_backed_offtake,0,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2030,all,carbonate_product,aggregate,china,0.01,0.025,0.06,triangular,china_2060_policy_backed_offtake,700000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2030,all,carbon_monoxide,chemical_grade,china,0.2,0.45,0.9,triangular,china_2060_policy_backed_offtake,35000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2030,all,methanol,chemical_grade,china,0.32,0.65,1.05,triangular,china_2060_policy_backed_offtake,180000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2030,all,formic_acid_equivalent,industrial_grade,china,0.55,0.95,1.8,triangular,china_2060_policy_backed_offtake,18000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2030,all,ethylene,polymer_grade,china,0.8,1.15,2.0,triangular,china_2060_policy_backed_offtake,45000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2030,all,methane,grid_grade,china,0.4,0.85,1.8,triangular,china_2060_policy_backed_offtake,350000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2030,all,sustainable_aviation_fuel,astm_blending_component,china,1.25,2.1,4.0,triangular,china_2060_policy_backed_offtake,20000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,none,none,none,0.0,0.0,0.0,triangular,china_2060_policy_backed_offtake,0,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,carbonate_product,aggregate,china,0.012,0.035,0.08,triangular,china_2060_policy_backed_offtake,700000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,carbon_monoxide,chemical_grade,china,0.24,0.65,1.2,triangular,china_2060_policy_backed_offtake,35000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,methanol,chemical_grade,china,0.34,0.75,1.2,triangular,china_2060_policy_backed_offtake,180000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,formic_acid_equivalent,industrial_grade,china,0.65,1.25,2.3,triangular,china_2060_policy_backed_offtake,18000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,ethylene,polymer_grade,china,0.85,1.3,2.3,triangular,china_2060_policy_backed_offtake,45000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,methane,grid_grade,china,0.45,1.05,2.2,triangular,china_2060_policy_backed_offtake,350000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2035,all,sustainable_aviation_fuel,astm_blending_component,china,1.5,3.2,6.0,triangular,china_2060_policy_backed_offtake,30000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,none,none,none,0.0,0.0,0.0,triangular,china_2060_policy_backed_offtake,0,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,carbonate_product,aggregate,china,0.014,0.045,0.1,triangular,china_2060_policy_backed_offtake,700000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,carbon_monoxide,chemical_grade,china,0.28,0.85,1.6,triangular,china_2060_policy_backed_offtake,35000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,methanol,chemical_grade,china,0.36,0.85,1.4,triangular,china_2060_policy_backed_offtake,180000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,formic_acid_equivalent,industrial_grade,china,0.75,1.6,2.9,triangular,china_2060_policy_backed_offtake,18000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,ethylene,polymer_grade,china,0.9,1.5,2.8,triangular,china_2060_policy_backed_offtake,45000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,methane,grid_grade,china,0.5,1.25,2.7,triangular,china_2060_policy_backed_offtake,350000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2040,all,sustainable_aviation_fuel,astm_blending_component,china,1.75,4.4,8.5,triangular,china_2060_policy_backed_offtake,40000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2045,all,none,none,none,0.0,0.0,0.0,triangular,china_2060_policy_backed_offtake,0,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2045,all,carbonate_product,aggregate,china,0.016,0.055,0.12,triangular,china_2060_policy_backed_offtake,700000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2045,all,carbon_monoxide,chemical_grade,china,0.32,1.0,1.9,triangular,china_2060_policy_backed_offtake,35000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2045,all,methanol,chemical_grade,china,0.38,0.95,1.6,triangular,china_2060_policy_backed_offtake,180000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2045,all,formic_acid_equivalent,industrial_grade,china,0.85,1.9,3.4,triangular,china_2060_policy_backed_offtake,18000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
2045,all,ethylene,polymer_grade,china,0.95,1.7,3.2,triangular,china_2060_policy_backed_offtake,45000000,china2060_optimistic_effort,Optimistic policy-backed offtake scenario; not a commodity-price forecast.,C_scenario,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S0196890425008787
