pathway,technology_family,year,trl,availability_fraction,catalyst_lifetime_hours,stack_lifetime_hours,replacement_cost_fraction,performance_degradation_per_year,contingency_fraction,scale_exponent,min_commercial_scale_tco2_per_year,notes
geological_storage,storage,2030,8,0.92,0,0,0.02,0.002,0.12,0.80,1000000,Storage wellfield and compression reliability.
mineralization,mineralization,2030,7,0.88,0,0,0.04,0.005,0.15,0.75,200000,Mineralization handling and reactor reliability.
co2_to_methanol,thermochemical,2030,8,0.90,30000,0,0.08,0.006,0.18,0.70,500000,Mature methanol-like plant with CO2/H2 integration risk.
rwgs_to_co,thermochemical,2030,7,0.88,22000,0,0.10,0.008,0.20,0.70,300000,RWGS catalyst/recycle reliability.
co2_to_methane,thermochemical,2030,8,0.90,26000,0,0.08,0.006,0.18,0.70,300000,Sabatier methanation reliability.
co2_h2_ft_saf,thermochemical,2030,6,0.82,18000,0,0.14,0.012,0.28,0.65,500000,FOAK CO2-derived FT-SAF.
co2_methanol_to_jet_saf,thermochemical,2030,5,0.78,15000,0,0.16,0.015,0.32,0.65,300000,FOAK methanol-to-jet from CO2 methanol.
electrolysis_to_co,electrochemical,2030,5,0.78,0,18000,0.18,0.025,0.30,0.85,50000,CO2 electrolyzer stack degradation.
electrolysis_to_formate,electrochemical,2030,5,0.78,0,16000,0.20,0.025,0.30,0.85,30000,Formate electrolyzer stack and recovery risk.
electrolysis_to_ethylene,electrochemical,2030,4,0.70,0,12000,0.28,0.035,0.40,0.90,30000,C2 electrolysis FOAK risk.
photocatalytic_to_co,photochemical,2030,3,0.65,0,0,0.25,0.04,0.45,0.90,10000,Photoreactor replacement and availability risk.
photoelectrochemical_to_formate,photochemical,2030,3,0.65,0,0,0.28,0.04,0.45,0.90,10000,PEC module replacement risk.
