year,selector_type,selector,capex_multiplier,fixed_opex_multiplier,variable_opex_multiplier
2030,all,all,1.00,1.00,1.00
2030,technology_family,electrochemical,0.85,0.90,0.95
2030,technology_family,photochemical,0.90,0.95,0.95
2030,technology_family,thermochemical,0.95,0.98,0.98
2040,all,all,0.92,0.96,0.98
2040,technology_family,electrochemical,0.62,0.78,0.90
2040,technology_family,photochemical,0.58,0.75,0.88
2040,technology_family,thermochemical,0.82,0.90,0.94
2040,technology_family,storage,0.90,0.95,0.98
2050,all,all,0.85,0.92,0.96
2050,technology_family,electrochemical,0.45,0.62,0.82
2050,technology_family,photochemical,0.38,0.55,0.78
2050,technology_family,thermochemical,0.72,0.82,0.90
2050,technology_family,storage,0.82,0.90,0.95
