parameter,distribution,low,mode,high
source_available_multiplier,triangular,0.85,1.0,1.10
capture_cost_multiplier,triangular,0.75,1.0,1.35
capture_emissions_multiplier,triangular,0.75,1.0,1.30
capture_energy_multiplier,triangular,0.70,1.0,1.45
source_purity_absolute_delta,triangular,-0.03,0.0,0.03
source_pressure_multiplier,triangular,0.85,1.0,1.20
destination_capacity_multiplier,triangular,0.80,1.0,1.15
electricity_price_multiplier,triangular,0.60,1.0,1.60
grid_emissions_multiplier,triangular,0.50,1.0,1.40
h2_price_multiplier,triangular,0.65,1.0,1.45
h2_emissions_multiplier,triangular,0.50,1.0,1.35
carbon_credit_multiplier,triangular,0.50,1.0,1.75
carbon_tax_multiplier,triangular,0.50,1.0,2.00
durable_credit_multiplier,triangular,0.50,1.0,1.80
purification_cost_multiplier,triangular,0.70,1.0,1.50
purification_emissions_multiplier,triangular,0.70,1.0,1.40
impurity_removal_cost_multiplier,triangular,0.70,1.0,1.50
impurity_removal_emissions_multiplier,triangular,0.70,1.0,1.40
pressure_energy_multiplier,triangular,0.75,1.0,1.30
transport_cost_multiplier,triangular,0.65,1.0,1.60
transport_emissions_multiplier,triangular,0.60,1.0,1.45
electrolyzer_capex_multiplier,triangular,0.55,1.0,1.40
electrolyzer_efficiency_multiplier,triangular,0.85,1.0,1.12
water_availability_multiplier,triangular,0.70,1.0,1.20
water_price_multiplier,triangular,0.70,1.0,1.50
land_availability_multiplier,triangular,0.80,1.0,1.20
land_cost_multiplier,triangular,0.60,1.0,1.80
permit_risk_multiplier,triangular,0.50,1.0,2.00
hub_capacity_multiplier,triangular,0.80,1.0,1.20
hub_compression_cost_multiplier,triangular,0.70,1.0,1.40
hub_compression_emissions_multiplier,triangular,0.70,1.0,1.40
